;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
0; CLÉMENTINE Méditerranée biologique tout-calibre (le kg) ;  ;  ;  ;  ;  ; 3.71; 3.70; 3.70;  ;  ;  ;  
1; CLÉMENTINE Corse feuille cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 2.82; 2.74; 2.75;  ;  ;  ;  
2; CLÉMENTINE Corse feuille cat.I 2 (le kg) ;  ;  ;  ;  ;  ; 2.77; 2.72; 2.75;  ;  ;  ;  
3; CLÉMENTINE Corse feuille cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 2.61; 2.59; 2.65;  ;  ;  ;  
4; CLÉMENTINE Corse feuille cat.I 4 (le kg) ;  ;  ;  ;  ;  ; 2.34; 2.36; 2.40;  ;  ;  ;  
5; CLÉMENTINE Corse feuille cat.I 5 (le kg) ;  ;  ;  ;  ;  ; 1.65;  ;  ;  ;  ;  ;  
6; CLÉMENTINE Corse feuille cat.I barq.1kg (la barquette) ;  ;  ;  ;  ;  ; 2.26; 2.34; 2.40;  ;  ;  ;  
7; CLÉMENTINE Clémenrubi Espagne biologique cat.I (le kg) ;  ;  ;  ; 3.05; 2.35;  ; 1.85;  ;  ;  ;  ;  
8; CLÉMENTINE Clémenvilla Espagne biologique cat.I (le kg) ;  ;  ;  ;  ;  ;  ; 1.72; 1.72;  ;  ;  ;  
9; CLÉMENTINE Nules Espagne biologique cat.I (le kg) ;  ;  ;  ;  ;  ; 1.77; 1.52; 1.55;  ;  ;  ;  
10; CLÉMENTINE Oronules Espagne biologique cat.I (le kg) ;  ;  ;  ;  ; 2.15; 1.85;  ;  ;  ;  ;  ;  
11; CLÉMENTINE Clémenvilla Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ; 0.81; 0.94;  ;  ;  ;  
12; CLÉMENTINE Clémenvilla haut de gamme Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ; 1.16; 1.11;  ;  ;  ;  
13; CLÉMENTINE Clémenvilla haut de gamme Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 1.00;  ;  ;  ;  ;  
14; CLÉMENTINE Espagne cat.I 1 (le kg) ;  ;  ;  ; 1.80; 1.45; 1.01; 0.88; 0.87; 0.87; 0.95;  ;  
15; CLÉMENTINE Espagne cat.I 2 (le kg) ;  ;  ;  ; 1.66; 1.35; 0.91; 0.77; 0.70; 0.81; 0.90;  ;  
16; CLÉMENTINE Espagne cat.I 3 (le kg) ;  ;  ;  ; 1.48; 1.19; 0.76; 0.66; 0.61; 0.69;  ;  ;  
17; CLÉMENTINE haut de gamme Espagne cat.I 1 (le kg) ;  ;  ;  ;  ; 1.92; 1.40; 1.23; 1.20; 1.29;  ;  ;  
18; CLÉMENTINE haut de gamme Espagne cat.I 2 (le kg) ;  ;  ;  ;  ; 1.85; 1.23; 1.16; 1.14; 1.15;  ;  ;  
19; CLÉMENTINE haut de gamme Espagne cat.I 3 (le kg) ;  ;  ;  ;  ; 1.52; 1.05; 0.92; 0.90; 0.90;  ;  ;  
20; CLÉMENTINE Maroc cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 1.10; 0.95; 1.23;  ;  ;  ;  
21; CLÉMENTINE Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ; 1.05; 0.94; 1.23;  ;  ;  ;  
22; CLÉMENTINE Maroc cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 0.94; 0.83; 1.11;  ;  ;  ;  
23; CLÉMENTINE Corse feuille biologique (le kg) ;  ;  ;  ;  ;  ; 4.31; 4.13; 4.38;  ;  ;  ;  
24; CLÉMENTINE U.E. biologique (le kg) ;  ;  ;  ;  ; 2.83; 2.12; 1.82; 1.97; 2.23; 2.27; 2.34; 2.33
25; CLÉMENTINE Oronules Espagne cat.I 3 (le kg) ;  ;  ;  ;  ; 1.35; 1.20;  ;  ;  ;  ;  ;  
26; CLÉMENTINE Oronules Italie cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 1.50; 1.24; 1.12; 1.52; 1.70;  ;  
27; CLÉMENTINE Berkane Maroc cat.I 2 (le kg) ;  ;  ;  ;  ; 1.50; 1.15; 0.92;  ;  ;  ;  ;  
28; CLÉMENTINE Berkane Maroc cat.I 3 (le kg) ;  ;  ;  ;  ; 1.30; 0.98; 0.79;  ;  ;  ;  ;  
29; CLÉMENTINE Clémenrubi Espagne cat.I 1 (le kg) ;  ;  ;  ; 2.52; 1.89;  ;  ;  ;  ;  ;  ;  
30; CLÉMENTINE Clémenrubi Espagne cat.I 2 (le kg) ;  ;  ;  ; 2.24; 1.65;  ;  ;  ;  ;  ;  ;  
31; CLÉMENTINE Clémenrubi Espagne cat.I 3 (le kg) ;  ;  ;  ; 1.60; 1.33;  ;  ;  ;  ;  ;  ;  
32; CLÉMENTINE Clémenrubi Portugal cat.I 2-3 (le kg) ;  ;  ;  ;  ; 1.77;  ;  ;  ;  ;  ;  ;  
33; CLÉMENTINE Clémenrubi Portugal cat.I 3-4 (le kg) ;  ;  ;  ;  ; 1.53;  ;  ;  ;  ;  ;  ;  
34; CLÉMENTINE Clémenrubi Portugal cat.I 4-5 (le kg) ;  ;  ;  ;  ; 1.30;  ;  ;  ;  ;  ;  ;  
35; CLÉMENTINE Clémenrubi Portugal cat.I cal 1-2 (le kg) ;  ;  ;  ; 2.48; 2.02;  ;  ;  ;  ;  ;  ;  
36; CLÉMENTINE Clémenvilla Espagne cat.I 1-X (le kg) ;  ;  ;  ;  ;  ;  ; 1.20; 1.26;  ;  ;  ;  
37; CLÉMENTINE Clémenvilla Portugal cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 1.37; 1.23; 1.29;  ;  ;  ;  
38; CLÉMENTINE Corse cat.I 2 (le kg) ;  ;  ;  ;  ; 3.80; 3.52; 3.40; 3.50;  ;  ;  ;  
39; CLÉMENTINE Corse cat.I 3 (le kg) ;  ;  ;  ;  ; 3.53; 3.19; 3.19; 3.25;  ;  ;  ;  
40; CLÉMENTINE Corse cat.I 4 (le kg) ;  ;  ;  ;  ; 3.15; 2.63; 2.65; 2.85;  ;  ;  ;  
41; CLÉMENTINE Nadorcot Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.27; 1.10;  ;  
42; CLÉMENTINE Nadorcot Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.31; 1.35; 1.51;  
43; CLÉMENTINE Nour Maroc cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.24;  ;  ;  ;  
44; CLÉMENTINE Nour Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.24;  ;  ;  ;  
45; CLÉMENTINE Nour Maroc cat.I 3 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.15;  ;  ;  ;  
46; CLÉMENTINE Nules Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ; 1.18; 1.07; 1.19;  ;  ;  ;  
47; CLÉMENTINE Nules Espagne cat.I 2 (le kg) ;  ;  ;  ;  ;  ; 1.01; 0.92; 1.01;  ;  ;  ;  
48; CLÉMENTINE Nules Espagne cat.I 3 (le kg) ;  ;  ;  ;  ;  ; 0.79; 0.73; 0.81;  ;  ;  ;  
49; CLÉMENTINE Nules Espagne extra 1 (le kg) ;  ;  ;  ;  ; 1.80; 1.65; 1.51; 1.65;  ;  ;  ;  
50; CLÉMENTINE Nules Portugal cat.I 2-3 (le kg) ;  ;  ;  ;  ;  ; 1.22;  ;  ;  ;  ;  ;  
51; CLÉMENTINE Nules Portugal cat.I cal 1-2 (le kg) ;  ;  ;  ;  ;  ; 1.24;  ;  ;  ;  ;  ;  
52; CLÉMENTINE Or Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.71; 1.78;  ;  
53; CLÉMENTINE Or Israël cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.14; 1.79; 2.16; 2.90; 2.80
54; KIWI Hayward Rhône-Alpes 105-115g(27 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.40; 2.40; 2.40; 2.48;  ;  ;  
55; KIWI Hayward Rhône-Alpes  75-80g(39 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.00; 2.00; 2.00; 2.00;  ;  ;  
56; KIWI Hayward Rhône-Alpes  85-95g(33 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.30; 2.30; 2.30; 2.30;  ;  ;  
57; KIWI Roussillon 105-115g(27 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.50; 2.50; 2.50; 2.50; 2.50; 2.50;  
58; KIWI Roussillon 105-115g(27 fruits) plateau (le plateau) ;  ;  ;  ;  ;  ;  ; 11.00; 11.00; 11.00; 11.00; 11.00;  
59; KIWI Roussillon 115-125g(25 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.50; 2.50; 2.50; 2.50; 2.50; 2.50;  
60; KIWI Roussillon 125-135g(23 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.50; 2.50; 2.50; 2.50; 2.50; 2.50;  
61; KIWI Roussillon  75-80g(39 fruits) (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.10;  
62; KIWI Roussillon  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.10;  
63; KIWI Roussillon  95-105g(30 fruits) (le kg) ;  ;  ;  ;  ;  ; 2.20; 2.20; 2.20; 2.20; 2.20; 2.20;  
64; KIWI Hayward Sud-Ouest cat.I  75-80g(39 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 1.80; 1.80;  ;  ;  ;  ;  
65; KIWI Hayward Sud-Ouest cat.I  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.00;  ;  ;  ;  ;  ;  
66; KIWI Hayward Sud-Ouest cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.10; 2.00;  ;  ;  ;  ;  
67; KIWI Hayward Sud-Ouest cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.20;  ;  ;  ;  ;  ;  
68; KIWI précoce Sud-Ouest 105-115g(27 fruits) colis (le kg) ;  ;  ;  ;  ; 2.00;  ;  ;  ;  ;  ;  ;  
69; KIWI précoce Sud-Ouest  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ; 1.70;  ;  ;  ;  ;  ;  ;  
70; KIWI précoce Sud-Ouest  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ; 1.80;  ;  ;  ;  ;  ;  ;  
71; KIWI précoce Sud-Ouest  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ; 1.90;  ;  ;  ;  ;  ;  ;  
72; KIWI Hayward Sud-Ouest cat.I 105-115g(27 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.45; 2.42; 2.40; 2.40;  ;  ;  
73; KIWI Hayward Sud-Ouest cat.I  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.90; 1.90;  ;  ;  
74; KIWI Hayward Sud-Ouest cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.00; 2.00; 2.00; 2.00;  ;  ;  
75; KIWI Hayward Sud-Ouest cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.05; 2.10; 2.20; 2.20;  ;  ;  
76; KIWI Hayward Rhône-Alpes cat.I 105-115g(27 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ; 2.90; 2.93; 3.01; 2.95; 2.95;  ;  
77; KIWI Hayward Rhône-Alpes cat.I 115-125g(25 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ; 3.10; 3.05; 3.05; 2.91; 2.92; 3.00;  
78; KIWI Hayward Rhône-Alpes cat.I 125-135g(23 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ; 3.05; 3.15; 3.20; 3.06; 3.06; 3.10;  
79; KIWI Hayward Rhône-Alpes cat.I 135g+(20 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ; 3.20; 3.25; 3.25; 3.20; 3.20; 3.20;  
80; KIWI Hayward Rhône-Alpes cat.I  70-75g(42 fruits) barq.1kg (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 2.25; 2.26; 2.30;  
81; KIWI Hayward Rhône-Alpes cat.I  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.15; 2.27; 2.30; 2.30;  ;  ;  
82; KIWI Hayward Rhône-Alpes cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.25; 2.37; 2.39; 2.35; 2.30;  ;  
83; KIWI Hayward Rhône-Alpes cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.35; 2.43; 2.45; 2.45; 2.35; 2.30;  
84; KIWI Méditerranée biologique (le kg) ;  ;  ;  ;  ;  ;  ; 2.84;  ;  ;  ;  ;  
85; KIWI Hayward Sud-Ouest cat.I 105-115g(27 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ; 2.79;  ;  ;  ;  ;  
86; KIWI Hayward Sud-Ouest cat.I 105-115g(27 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ; 2.80; 2.86; 2.85; 2.79; 2.86; 3.04;  
87; KIWI Hayward Sud-Ouest cat.I 115-125g(25 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ; 2.91; 2.88; 2.81; 2.87; 2.99;  
88; KIWI Hayward Sud-Ouest cat.I 125-135g(23 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ; 3.05; 3.11; 2.88; 2.88; 2.94;  
89; KIWI Hayward Sud-Ouest cat.I 135g+(20 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ; 3.32; 3.27; 3.02; 3.04;  ;  
90; KIWI Hayward Sud-Ouest cat.I  70-75g(42 fruits) barq.1kg (le kg) ;  ;  ;  ;  ;  ; 2.30; 2.31; 2.28; 2.26; 2.39; 2.50;  
91; KIWI Hayward Sud-Ouest cat.I  75-80g(39 fruits) barq.1kg (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 2.29; 2.44; 2.50;  
92; KIWI Hayward Sud-Ouest cat.I  75-80g(39 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ; 2.35; 2.37; 2.37;  ;  ;  
93; KIWI Hayward Sud-Ouest cat.I  80-85g(36 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ; 2.54; 2.47; 2.46; 2.56; 2.70;  
94; KIWI Hayward Sud-Ouest cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.60; 2.61; 2.55; 2.56; 2.66; 2.78;  
95; KIWI Hayward Sud-Ouest cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.65; 2.62; 2.60; 2.60; 2.65; 2.74;  
96; CLÉMENTINE Or Israël cat.I 1-X (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.30;  ;  ;  ;  
97; CLÉMENTINE Or Israël cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.86; 1.61; 1.94; 2.61;  
98; CLÉMENTINE Or Israël extra 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.74; 2.29; 2.37; 2.80;  
99; CLÉMENTINE Oronules Espagne biologique 2 (le kg) ;  ;  ;  ;  ; 2.38; 2.30;  ;  ;  ;  ;  ;  
100; CLÉMENTINE Oronules Espagne cat.I 1 (le kg) ;  ;  ;  ;  ; 1.68; 1.34;  ;  ;  ;  ;  ;  
101; CLÉMENTINE Oronules Espagne cat.I 2 (le kg) ;  ;  ;  ;  ; 1.44; 1.15;  ;  ;  ;  ;  ;  
102; CLÉMENTINE Oronules Espagne cat.I 3 (le kg) ;  ;  ;  ;  ; 1.05; 0.86;  ;  ;  ;  ;  ;  
103; CLÉMENTINE Oronules Espagne extra 2 (le kg) ;  ;  ;  ;  ; 1.74; 1.68;  ;  ;  ;  ;  ;  
104; CLÉMENTINE Oronules Portugal cat.I 2-3 (le kg) ;  ;  ;  ;  ; 1.38; 1.12;  ;  ;  ;  ;  ;  
105; CLÉMENTINE Oronules Portugal cat.I cal 1-2 (le kg) ;  ;  ;  ;  ; 1.64; 1.32;  ;  ;  ;  ;  ;  
106; CLÉMENTINE Clémenvilla Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.40; 1.40;  ;  ;  
107; CLÉMENTINE Corse cat.I 2 (le kg) ;  ;  ;  ;  ; 3.70; 3.36; 3.50; 3.47;  ;  ;  ;  
108; CLÉMENTINE Corse cat.I 3 (le kg) ;  ;  ;  ;  ; 3.70; 3.50; 3.13; 3.30;  ;  ;  ;  
109; CLÉMENTINE Corse feuille cat.I 4 (le kg) ;  ;  ;  ;  ; 3.36; 3.23; 3.06; 3.15;  ;  ;  ;  
110; CLÉMENTINE Espagne feuille cat.I 1 (le kg) ;  ;  ;  ;  ; 2.15; 1.69; 1.20; 1.39; 1.62;  ;  ;  
111; CLÉMENTINE Nules Portugal cat.I 1 (le kg) ;  ;  ;  ;  ; 2.05; 1.70; 1.58; 1.50; 1.59;  ;  ;  
112; CLÉMENTINE Or de marque Israël cat.I 1-X (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.55; 2.33; 2.35; 2.81; 3.15
113; CLÉMENTINE Oronules Espagne cat.I 1 (le kg) ;  ;  ;  ;  ; 2.38; 1.93; 1.69; 1.89; 1.65;  ;  ;  
114; CLÉMENTINE Berkane Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ; 1.20;  ;  ;  ;  ;  
115; CLÉMENTINE Corse feuille cat.I 2 (le kg) ;  ;  ;  ;  ; 3.80; 3.67; 3.55; 3.83;  ;  ;  ;  
116; CLÉMENTINE Espagne cat.I 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.25; 1.89; 2.09; 2.87; 3.10
117; CLÉMENTINE Espagne extra 1 plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.27; 2.70;  ;  ;  
118; CLÉMENTINE Nadorcot Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.80; 1.93;  ;  ;  
119; CLÉMENTINE Nour Maroc cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 1.68;  ;  ;  ;  
120; CLÉMENTINE Or Espagne cat.I cagette (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.90; 2.80;  
121; CLÉMENTINE Or Import cat.I 1-X vrac (le kg) ;  ;  ;  ; 3.29; 3.00;  ;  ;  ;  ;  ;  ;  
122; CLÉMENTINE Or Import cat.I 1-XX vrac (le kg) ;  ;  ;  ; 2.55;  ;  ;  ;  ;  ;  ;  ;  
123; CLÉMENTINE Or Israël cat.I 2 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.14; 1.86; 2.10; 2.90; 2.98
124; CLÉMENTINE Or Israël extra 1 (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.61; 2.62; 2.82; 3.17;  
125; CLÉMENTINE Oronules Espagne cat.I 2 (le kg) ;  ;  ;  ; 2.70; 2.40; 1.66; 1.40; 1.58; 1.60;  ;  ;  
126; CLÉMENTINE Oronules Portugal feuille cat.I 1 cagette (le kg) ;  ;  ;  ;  ; 1.85; 1.74; 1.52; 1.61; 1.66;  ;  ;  
127; KIWI Hayward Sud-Ouest cat.II  65-70g(46 fruits) barq.1kg (le kg) ;  ;  ;  ;  ;  ; 2.10; 2.04; 1.89; 1.89; 1.98; 2.10;  
128; KIWI Hayward France biologique (le kg) ;  ;  ;  ;  ;  ; 3.05; 2.91; 2.91; 3.01; 3.07;  ;  
129; KIWI Hayward France biologique  80-85g(36 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 2.79;  ;  ;  
130; KIWI Hayward France biologique  95-105g(30 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.97; 3.05;  ;  ;  
131; KIWI Hayward Italie biologique cat.I (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.15;  ; 3.12
132; KIWI Gold France biologique (le kg) ;  ;  ;  ;  ;  ; 5.98; 6.37;  ;  ;  ;  ;  
133; KIWI Gold Import biologique (le kg) ; 6.72; 6.58; 6.71; 6.76; 6.74; 6.79;  ;  ;  ;  ;  ;  
134; KIWI Gold U.E. biologique (le kg) ;  ;  ;  ;  ;  ; 4.42; 5.07; 5.55; 5.54; 6.02; 5.26;  
135; KIWI Hayward France biologique (le kg) ; 4.13;  ;  ;  ; 4.05; 3.94; 3.67; 3.63; 3.64; 3.74; 3.85; 3.87
136; KIWI Hayward Import biologique (le kg) ; 4.15; 4.12; 3.94; 4.19; 4.02; 3.96;  ;  ;  ;  ;  ;  
137; KIWI Hayward U.E. biologique (le kg) ; 3.87; 4.49;  ; 4.00; 3.20; 2.93; 2.82; 2.84; 2.82; 2.74; 2.90; 3.13
138; KIWI Gold Italie cat.I colis 5,6kg (le plateau) ;  ;  ;  ;  ;  ; 22.88; 24.00; 25.12; 28.50; 28.50; 28.50;  
139; KIWI Gold Nouvelle-Zélande cat.I colis 5,6kg (le colis) ; 26.00; 26.00; 26.00; 26.00; 26.00; 26.00; 26.00;  ;  ;  ; 26.25; 26.25
140; KIWI Hayward Chili cat.I colis (les 3kg) ;  ;  ; 8.50; 8.50; 8.50;  ;  ;  ;  ;  ;  ;  
141; KIWI Hayward France cat.I colis (les 3kg) ; 10.00;  ;  ;  ;  ; 10.25; 10.25; 10.25; 10.25; 10.25; 10.25; 10.25
142; KIWI Hayward Grèce cat.I colis (le kg) ;  ;  ;  ;  ;  ;  ; 1.65; 1.63; 1.60; 1.60; 1.60; 1.60
143; KIWI Hayward Grèce cat.I plateau (les 3kg) ;  ;  ;  ;  ;  ;  ; 6.50; 6.50; 6.50; 6.50; 6.50;  
144; KIWI Hayward Italie cat.I colis (les 3kg) ; 7.75;  ;  ;  ; 7.50; 7.50; 7.50; 7.50; 7.50; 7.50; 7.50; 7.50
145; KIWI Hayward Italie cat.I plateau (le kg) ; 1.70;  ;  ;  ; 1.90; 1.90; 1.90; 1.90; 1.90; 1.90; 1.90; 1.90
146; KIWI Hayward Nouvelle-Zélande cat.I colis (les 10kg) ; 26.00; 24.00; 24.00; 24.00; 25.50; 26.00; 26.00;  ;  ;  ;  ;  
147; KIWI Hayward Nouvelle-Zélande cat.I colis 5,6kg (le colis) ; 17.50; 17.50; 20.25; 21.00; 21.00; 21.00; 21.00;  ;  ;  ;  ; 21.75
148; KIWI Hayward Italie cat.I 117-128g plateau (le kg) ; 2.50; 2.50; 2.50; 2.40; 2.40; 2.24; 2.00; 1.88; 2.10; 2.20; 2.20; 2.20
149; KIWI Gold Nouvelle-Zélande biologique cat.I 81-92g-39-colis de 65-5,6kg (le kg) ;  ;  ;  ;  ; 27.00;  ;  ;  ;  ;  ;  ;  
150; KIWI Gold Nouvelle-Zélande cat.I 105-114g-33-colis de 52-5,6kg (le colis) ; 27.02; 26.76; 27.14; 27.34; 27.75; 28.00;  ;  ;  ;  ; 29.00; 27.47
151; KIWI Gold Nouvelle-Zélande cat.I 115-125g-30-colis de 48-5,6kg colis 5,6kg (le colis) ; 27.58; 27.74; 27.64; 28.00; 28.91; 30.00;  ;  ;  ;  ; 30.00; 28.58
152; KIWI Gold Nouvelle-Zélande cat.I 115-125g-30-colis de 48-5,6kg colis 5,6kg (le kg) ; 27.50;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
153; KIWI Gold Nouvelle-Zélande cat.I 81-92g-39-colis de 65-5,6kg colis 5,6kg (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 25.00
154; KIWI Gold Nouvelle-Zélande cat.I 92-105g-36-colis de 58-5,6kg (le colis) ;  ;  ;  ;  ; 28.08; 29.00;  ;  ;  ;  ; 28.00; 26.58
155; KIWI Hayward France biologique cat.I 105-115g(27 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.88; 3.80;  ;  ;  
156; KIWI Hayward France biologique cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ; 2.90; 2.92; 2.90; 2.90;  ;  
157; KIWI Hayward France biologique cat.I  85-95g(33 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ; 3.81; 3.85; 3.60; 3.60; 3.60;  ;  
158; KIWI Hayward France cat.I 105-115g(27 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.60;  ;  ;  ;  ;  ;  
159; KIWI Hayward France cat.I 105-115g(27 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ; 3.00; 3.00; 3.18; 3.47; 3.46;  
160; KIWI Hayward France cat.I 115-125g(25 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ; 3.10; 3.11; 3.31;  ;  ;  
161; KIWI Hayward France cat.I 125-135g(23 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 3.90; 3.98
162; KIWI Hayward France cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.80; 2.71; 2.60; 2.67; 2.83; 3.07; 3.15
163; KIWI Hayward France cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 2.90; 2.85; 2.82; 2.91; 3.00; 3.20; 3.20
164; KIWI Hayward France cat.I  95-105g(30 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ; 2.98; 2.92; 3.06; 3.27; 3.33;  
165; KIWI Hayward Grèce cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 1.49; 1.50; 1.45; 1.55; 1.65;  ;  
166; KIWI Hayward Grèce cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ; 1.69; 1.60; 1.62; 1.64; 1.72;  ;  
167; KIWI Hayward Italie cat.I 105-115g(27 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.00; 2.13; 2.30
168; KIWI Hayward Italie cat.I 105-115g(27 fruits) plateau 1rg (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.15; 2.15;  
169; KIWI Hayward Italie cat.I  85-95g(33 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.79; 1.75;  
170; KIWI Hayward Italie cat.I  95-105g(30 fruits) colis (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.89; 1.85; 3.10
171; KIWI Hayward Nouvelle-Zélande cat.I 105-115g - 33 - colis de 92 (le kg) ; 3.19; 3.19; 3.29; 3.30; 3.34; 3.40;  ;  ;  ;  ;  ; 3.22
172; KIWI Hayward Nouvelle-Zélande cat.I 115-125g - 30 - colis de 85 (le kg) ; 3.34; 3.35; 3.46; 3.48; 3.52; 3.65;  ;  ;  ;  ;  ; 3.32
173; KIWI Hayward Nouvelle-Zélande cat.I 125-135g - 27 - colis de 78 (le kg) ; 3.40;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
174; KIWI Hayward Nouvelle-Zélande cat.I 82-93g - 39 - colis de 115 (le kg) ; 2.51; 2.65; 2.65; 2.72; 2.71; 2.70; 2.65;  ;  ;  ;  ; 2.72
175; KIWI Hayward Nouvelle-Zélande cat.I 93-105g - 36 - colis de 102 (le kg) ; 2.83; 2.90; 3.04; 3.11; 3.21; 3.20;  ;  ;  ;  ;  ; 2.92
