;Produit;Prix 1;Prix 2;Prix 3;Prix 4;Prix 5;Prix 6;Prix 7;Prix 8;Prix 9;Prix 10;Prix 11;Prix 12
6071; CHOU rouge Pays-Bas cat.I (le kg) ; 1.07; 1.07; 0.85; 0.84; 0.85;  ;  ;  ;  ;  ; 0.91; 1.13
6072; CHOU blanc France cat.I colis de 6 (les 6 pièces) ;  ;  ;  ;  ; 8.62; 8.04; 7.68; 7.91; 8.36; 8.24; 8.32; 8.80
6073; CHOU blanc Pays-Bas cat.I (le kg) ;  ;  ;  ;  ;  ; 8.60; 8.01; 7.50;  ; 1.57; 1.54; 1.75
6074; CHOU Brocoli Espagne cat.I (le kg) ; 3.53; 2.73; 2.26; 2.58; 2.09; 1.74; 1.49; 2.51; 1.68; 1.61; 2.34; 1.87
6075; CHOU Brocoli France cat.I (le kg) ; 3.19; 3.26; 3.37; 2.79; 2.52; 2.11;  ;  ; 2.56; 2.50;  ;  
6076; CHOU Chinois France cat.I colis de 6 (le kg) ;  ;  ; 11.30; 11.22; 10.80; 12.15; 11.68; 11.88; 11.97; 11.40;  ;  
6077; CHOU Chinois U.E. cat.I colis de 6 (le kg) ; 1.74; 1.71; 1.70;  ; 11.46; 11.35; 10.26; 10.85; 10.69; 10.01; 11.85; 13.00
6078; CHOU frisé Espagne cat.I (la pièce) ;  ;  ;  ; 2.30;  ;  ;  ;  ;  ;  ;  ;  
6079; CHOU frisé Espagne cat.I colis de 6 (le kg) ; 1.91;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
6080; CHOU frisé France cat.I colis de 6 (les 6 pièces) ; 13.40; 10.57; 9.75; 7.95; 8.64; 8.16; 8.07; 8.41; 8.10; 8.61; 8.53; 9.60
6081; CHOU Romanesco France cat.I colis de 6 (les 6 pièces) ; 16.38; 15.50; 11.97; 12.41; 15.50;  ;  ;  ; 12.00; 12.15; 15.75;  
