MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-21 au 10-05-21 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2021-01-04;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;3,5;4;3,7;le kg
2021-01-04;57216567;AIL violet sec Espagne cat.I 60-80mm;3,8;4,5;4;le kg
2021-01-04;26830123;AIL violet sec France cat.I 60-80mm;4,8;5,8;5,5;le kg
2021-01-04;57227481;ANANAS Cayenne lisse Afrique B(1100-1500g) avion carton;2,6;3,2;2,8;le kg
2021-01-04;57227482;ANANAS Sweet Amérique centrale B(1100-1500g) avion carton;3;3,6;3,2;le kg
2021-01-04;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;0,75;1;0,85;le kg
2021-01-04;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;0,8;1,1;0,9;le kg
2021-01-04;11420123;ARTICHAUT blanc Espagne cat.I +13cm colis de 12;2,2;2,4;2,3;le kg
2021-01-04;25040123;ARTICHAUT Calico Espagne cat.I 11-13cm colis de 15;2,8;3,8;3,5;le kg
2021-01-04;26870123;AUBERGINE Espagne cat.I;1,9;2,2;2;le kg
2021-01-04;3890123;AVOCAT Hass Espagne colis de 16;16;19;17;les 16 pièces
2021-01-04;4270123;AVOCAT Hass Espagne colis de 20;16;19;17;les 20 pièces
2021-01-04;25870123;BANANE Afrique extra;0,7;0,95;0,9;le kg
2021-01-04;25880123;BANANE Amérique centrale extra;0,7;0,95;0,9;le kg
2021-01-04;25900123;BANANE DOM extra;0,9;1,2;1;le kg
2021-01-04;19950123;BETTE Italie;1,1;1,5;1,3;le kg
2021-01-04;9420123;BETTERAVE ROUGE ronde cuite France;1,6;1,8;1,7;le kg
2021-01-04;10380123;CAROTTE Espagne cat.I botte;1;1,2;1,1;la botte
2021-01-04;9460123;CAROTTE France cat.I sac 10kg;0,6;0,8;0,7;le kg
2021-01-04;420123;CAROTTE France extra colis 12kg;0,85;1,1;0,9;le kg
2021-01-04;9480123;CÉLERI-BRANCHE vert Italie cat.I;0,9;1,2;1;le kg
2021-01-04;370123;CÉLERI-RAVE France;0,85;1,2;1;le kg
2021-01-04;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;1,8;2,1;1,9;le kg
2021-01-04;57220261;CHICORÉE frisée Espagne cat.I colis de 8;;;11;les 8 pièces
2021-01-04;57209364;CHICORÉE frisée France cat.I colis de 8;10,5;12;11;les 8 pièces
2021-01-04;57220262;CHICORÉE Scarole Espagne cat.I colis de 8;;;11;les 8 pièces
2021-01-04;25020123;CHICORÉE Scarole France cat.I colis de 8;10,5;12;11;les 8 pièces
2021-01-04;1260123;CHOU blanc France cat.I;0,65;0,9;0,75;le kg
2021-01-04;26220123;CHOU blanc Pays-Bas cat.I;0,5;0,8;0,65;le kg
2021-01-04;3250123;CHOU Brocoli Espagne cat.I;1,1;1,3;1,2;le kg
2021-01-04;9780123;CHOU DE BRUXELLES Pays-Bas cat.I;1,2;1,5;1,3;le kg
2021-01-04;27780123;CHOU FLEUR France couronné cat.I gros;6,8;8;7;les 6 pièces
2021-01-04;220123;CHOU rouge France cat.I;0,7;0,9;0,8;le kg
2021-01-04;9520123;CHOU rouge Pays-Bas cat.I sac;0,5;0,7;0,6;le kg
2021-01-04;290123;CHOU vert France cat.I colis de 6;4,8;5,8;5,2;les 6 pièces
2021-01-04;3770123;CITRON Espagne cat.I 4(58-67mm);1,2;1,6;1,4;le kg
2021-01-04;24670123;CLÉMENTINE Berkane Maroc cat.I 2;0,95;1,15;1,1;le kg
2021-01-04;19340123;CLÉMENTINE Berkane Maroc cat.I 3;0,9;1;0,95;le kg
