MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-14 au 01-01-15 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2014-01-02;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;2,2;2,4;2,3;le kg
2014-01-02;27410123;AIL blanc sec France cat.I 60-80mm;2;2,3;2,2;le kg
2014-01-02;26830123;AIL violet sec France cat.I 60-80mm;2,3;2,8;2,5;le kg
2014-01-02;28830123;ANANAS Afrique B(1100-1500g) avion;1,8;2,2;2,1;le kg
2014-01-02;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;0,75;0,9;0,85;le kg
2014-01-02;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;0,8;1;0,9;le kg
2014-01-02;9410123;ARTICHAUT blanc Espagne cat.I 11-13cm colis de 18;2,3;2,8;2,5;le kg
2014-01-02;26870123;AUBERGINE Espagne cat.I;1,7;1,9;1,8;le kg
2014-01-02;3890123;AVOCAT Hass Espagne colis de 16;9;10;9,5;les 16 pièces
2014-01-02;4270123;AVOCAT Hass Espagne colis de 20;8;9;8,5;les 20 pièces
2014-01-02;25870123;BANANE Afrique extra;0,9;0,98;0,93;le kg
2014-01-02;25880123;BANANE Amérique centrale extra;0,9;0,98;0,93;le kg
2014-01-02;25900123;BANANE DOM extra;0,9;0,98;0,93;le kg
2014-01-02;19950123;BETTE Italie;0,85;0,95;0,9;le kg
2014-01-02;9420123;BETTERAVE ROUGE ronde cuite France;1,8;2;1,9;le kg
2014-01-02;10380123;CAROTTE Espagne cat.I botte;0,95;1,05;1;la botte
2014-01-02;26450123;CAROTTE France cat.I colis 12kg;0,58;0,62;0,6;le kg
2014-01-02;9460123;CAROTTE France cat.I sac 10kg;0,48;0,55;0,5;le kg
2014-01-02;9480123;CÉLERI-BRANCHE vert Italie cat.I;0,85;0,95;0,9;le kg
2014-01-02;370123;CÉLERI-RAVE France;0,8;0,9;0,85;le kg
2014-01-02;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;1,95;2,1;2;le kg
2014-01-02;28670123;CHICORÉE Frisée fine Espagne cat.I colis de 10;10,5;11,5;11;les 10 pièces
2014-01-02;57209364;CHICORÉE frisée France cat.I colis de 8;10;11;10,5;les 8 pièces
2014-01-02;25020123;CHICORÉE Scarole France cat.I colis de 8;10;11;10,5;les 8 pièces
2014-01-02;1260123;CHOU blanc France cat.I;0,5;0,6;0,55;le kg
