MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-16 au 01-01-17 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2016-01-04;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;3;3,3;3,2;le kg
2016-01-04;57216567;AIL violet sec Espagne cat.I 60-80mm;3,5;3,8;3,6;le kg
2016-01-04;26830123;AIL violet sec France cat.I 60-80mm;3,8;4,5;4;le kg
2016-01-04;28830123;ANANAS Afrique B(1100-1500g) avion;2;2,3;2,2;le kg
2016-01-04;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;0,9;1,1;1;le kg
2016-01-04;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;0,9;1,2;1,05;le kg
2016-01-04;57218729;ARTICHAUT Calico Espagne cat.I colis de 12;3;3,5;3,2;le kg
2016-01-04;26870123;AUBERGINE Espagne cat.I;1,1;1,3;1,2;le kg
2016-01-04;23150123;AVOCAT Hass Chili colis de 16;12;14;13;les 16 pièces
2016-01-04;29330123;AVOCAT Hass Chili colis de 20;12;14;13;les 20 pièces
2016-01-04;3890123;AVOCAT Hass Espagne colis de 16;13;14,5;13,5;les 16 pièces
2016-01-04;4270123;AVOCAT Hass Espagne colis de 20;13;14,5;14;les 20 pièces
2016-01-04;25870123;BANANE Afrique extra;0,9;0,97;0,95;le kg
2016-01-04;25880123;BANANE Amérique centrale extra;0,9;0,97;0,95;le kg
2016-01-04;25900123;BANANE DOM extra;0,9;0,97;0,95;le kg
2016-01-04;18310123;BETTE France;1,3;1,5;1,4;le kg
2016-01-04;19950123;BETTE Italie;1,25;1,4;1,3;le kg
2016-01-04;9420123;BETTERAVE ROUGE ronde cuite France;1,7;1,9;1,8;le kg
2016-01-04;10380123;CAROTTE Espagne cat.I botte;0,9;1,05;1;la botte
2016-01-04;9740123;CAROTTE France cat.I botte;0,95;1,05;1;la botte
2016-01-04;9460123;CAROTTE France cat.I sac 10kg;0,45;0,55;0,5;le kg
2016-01-04;420123;CAROTTE France extra colis 12kg;0,58;0,65;0,6;le kg
2016-01-04;9480123;CÉLERI-BRANCHE vert Italie cat.I;0,9;1,1;1;le kg
2016-01-04;370123;CÉLERI-RAVE France;0,8;1;0,9;le kg
2016-01-04;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;1,8;2,1;1,9;le kg
2016-01-04;28670123;CHICORÉE Frisée fine Espagne cat.I colis de 10;11,5;12,5;12;les 10 pièces
2016-01-04;57209364;CHICORÉE frisée France cat.I colis de 8;11;13;12;les 8 pièces
2016-01-04;25020123;CHICORÉE Scarole France cat.I colis de 8;11;13;12;les 8 pièces
2016-01-04;1260123;CHOU blanc France cat.I;0,6;0,7;0,65;le kg
