MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-18 au 01-01-19 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2018-01-02;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;2,5;2,8;2,6;le kg
2018-01-02;57226767;AIL rose sec France cat.I 60-80mm plateau 5kg;7;8;7,5;le kg
2018-01-02;57216567;AIL violet sec Espagne cat.I 60-80mm;2,6;3;2,8;le kg
2018-01-02;28830123;ANANAS Afrique B(1100-1500g) avion;2,2;2,6;2,5;le kg
2018-01-02;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;0,75;0,9;0,8;le kg
2018-01-02;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;0,8;0,9;0,8;le kg
2018-01-02;9410123;ARTICHAUT blanc Espagne cat.I 11-13cm colis de 18;3;3,6;3,3;le kg
2018-01-02;26870123;AUBERGINE Espagne cat.I;1,6;2;1,8;le kg
2018-01-02;3890123;AVOCAT Hass Espagne colis de 16;15;18;17;les 16 pièces
2018-01-02;4270123;AVOCAT Hass Espagne colis de 20;15;18;17;les 20 pièces
2018-01-02;25870123;BANANE Afrique extra;0,9;1;0,95;le kg
2018-01-02;25880123;BANANE Amérique centrale extra;0,9;1;0,95;le kg
2018-01-02;19950123;BETTE Italie;0,8;1,3;1,1;le kg
2018-01-02;9420123;BETTERAVE ROUGE ronde cuite France;1,7;2;1,8;le kg
2018-01-02;10380123;CAROTTE Espagne cat.I botte;0,9;1;0,95;la botte
2018-01-02;9460123;CAROTTE France cat.I sac 10kg;0,3;0,4;0,38;le kg
2018-01-02;420123;CAROTTE France extra colis 12kg;0,55;0,6;0,58;le kg
2018-01-02;400123;CÉLERI-BRANCHE vert France cat.I;0,7;1,1;1;le kg
2018-01-02;9480123;CÉLERI-BRANCHE vert Italie cat.I;0,8;1;0,9;le kg
2018-01-02;370123;CÉLERI-RAVE France;0,7;1,1;0,9;le kg
2018-01-02;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;1,85;2;1,9;le kg
2018-01-02;57209364;CHICORÉE frisée France cat.I colis de 8;12,5;14;13;les 8 pièces
2018-01-02;25020123;CHICORÉE Scarole France cat.I colis de 8;12,5;14;13;les 8 pièces
2018-01-02;26220123;CHOU blanc Pays-Bas cat.I;0,6;0,8;0,7;le kg
2018-01-02;3250123;CHOU Brocoli Espagne cat.I;1,6;1,8;1,7;le kg
2018-01-02;9780123;CHOU DE BRUXELLES Pays-Bas cat.I;1,5;1,7;1,6;le kg
2018-01-02;27780123;CHOU FLEUR France couronné cat.I gros;4,2;5,5;4,8;les 6 pièces
2018-01-02;220123;CHOU rouge France cat.I;0,5;0,7;0,65;le kg
2018-01-02;9520123;CHOU rouge Pays-Bas cat.I sac;0,7;0,8;0,75;le kg
2018-01-02;290123;CHOU vert France cat.I colis de 6;4,5;5,5;5;les 6 pièces
2018-01-02;3770123;CITRON Espagne cat.I 4(58-67mm);1,1;1,3;1,2;le kg
2018-01-02;24670123;CLÉMENTINE Berkane Maroc cat.I 2;0,9;1,3;1,1;le kg
2018-01-02;19340123;CLÉMENTINE Berkane Maroc cat.I 3;0,85;1,1;1;le kg
2018-01-02;3580123;CLÉMENTINE Clémenvilla Espagne cat.I 1-X;1,5;1,7;1,6;le kg
2018-01-02;27310123;CLÉMENTINE Corse cat.I 2;3;3,4;3,3;le kg
2018-01-02;27320123;CLÉMENTINE Corse cat.I 3;2,9;3,1;3;le kg
2018-01-02;27180123;CLÉMENTINE Nules Espagne cat.I 1;1;1,2;1,1;le kg
2018-01-02;4640123;CLÉMENTINE Nules Espagne cat.I 2;0,9;1,1;1,05;le kg
2018-01-02;5200123;CLÉMENTINE Nules Espagne cat.I 3;0,8;0,9;0,85;le kg
2018-01-02;22240123;CLÉMENTINE Nules Espagne extra 1 colis 10kg;1,2;1,5;1,4;le kg
2018-01-02;23820123;CLÉMENTINE Nules Espagne extra 2 colis 10kg;1,2;1,5;1,4;le kg
2018-01-02;57200906;CLÉMENTINE Or Israël cat.I 1-X;;;2,5;le kg
2018-01-02;9570123;CONCOMBRE Espagne cat.I 500-600g colis de 12;0,64;0,8;0,7;la pièce
2018-01-02;57224865;CONCOMBRE mini Espagne cat.I;2;2,5;2,3;le kg
2018-01-02;23760123;CONCOMBRE mini Jordanie cat.I;3,2;3,6;3,5;le kg
2018-01-02;57224650;COURGE Butternut France;0,6;1,1;0,95;le kg
2018-01-02;57210792;COURGE Potimarron France;0,65;1,1;0,95;le kg
2018-01-02;9170123;COURGETTE verte Espagne cat.I 14-21cm;1,2;1,4;1,3;le kg
2018-01-02;9580123;COURGETTE verte Maroc cat.I 14-21cm;0,7;1;0,9;le kg
2018-01-02;10350123;CRESSON France botte;1,4;1,5;1,45;la botte
2018-01-02;28680123;ÉCHALION France cat.I 30-50mm plateau;0,5;0,85;0,7;le kg
2018-01-02;440123;ÉCHALOTE France cat.I;0,5;0,7;0,6;le kg
2018-01-02;3130123;ENDIVE Nord-Picardie cat.I colis 5kg;1,1;1,3;1,2;le kg
2018-01-02;3120123;ENDIVE Nord-Picardie extra colis 5kg;1,3;1,5;1,35;le kg
2018-01-02;230123;ÉPINARD France cat.I;1,6;2,4;1,8;le kg
2018-01-02;3360123;FENOUIL Italie;1;1,8;1,35;le kg
2018-01-02;24980123;FRAISE standard Espagne cat.I barq.500g;5,4;5,8;5,6;le kg
2018-01-02;19640123;FRAMBOISE Espagne barq.125g;8;14,4;9,6;le kg
2018-01-02;17320123;HARICOT VERT Coco plat Maroc cat.I fin;1,4;1,8;1,6;le kg
2018-01-02;57227128;HARICOT VERT Coco plat Maroc cat.I très fin;1,7;2,3;2;le kg
2018-01-02;27490123;HARICOT VERT vert Burkina Faso cat.I très fin;2,5;3,5;3;le kg
2018-01-02;17330123;HARICOT VERT vert Kenya extra très fin;5,5;7;6,5;le kg
2018-01-02;57227035;HARICOT VERT vert Maroc cat.I très fin;2,5;3,2;3;le kg
2018-01-02;57209480;KIWI Hayward France cat.I 105-115g(27 fruits) colis;2,3;2,5;2,4;le kg
2018-01-02;29370123;KIWI Hayward France cat.I  85-95g(33 fruits) colis;2,1;2,2;2,15;le kg
2018-01-02;22490123;KIWI Hayward France cat.I  95-105g(30 fruits) plateau 1rg;2,2;2,3;2,25;le kg
2018-01-02;23830123;KIWI Hayward Grèce cat.I  95-105g(30 fruits);1,3;1,6;1,5;le kg
2018-01-02;27150123;KIWI Hayward Italie cat.I  95-105g(30 fruits);1,7;1,9;1,8;le kg
2018-01-02;27370123;LAITUE Batavia blonde France cat.I +400g colis de 12;7;8;7,5;les 12 pièces
2018-01-02;27380123;LAITUE Feuille de chêne blonde France cat.I +400g colis de 12;6,8;7,5;7;les 12 pièces
2018-01-02;29050123;LAITUE Feuille de chêne rouge France cat.I +400g colis de 12;6,8;7,5;7;les 12 pièces
2018-01-02;28210123;LAITUE Iceberg Pays-Bas cat.I colis de 10;7;8,5;8;les 10 pièces
2018-01-02;27390123;LAITUE pommée France cat.I +400g colis de 12;7,5;8,5;8;les 12 pièces
2018-01-02;19250123;LITCHI Afrique du sud bateau;3,8;4,2;4;le kg
2018-01-02;57225021;LITCHI Afrique du sud branche avion;;;14;le kg
2018-01-02;19260123;LITCHI Madagascar bateau;2,3;2,5;2,4;le kg
2018-01-02;57202446;MÂCHE Coquille France plateau 1kg;4,5;6;5,5;le kg
2018-01-02;18880123;MÂCHE verte France barq.150g;0,95;1,1;1,05;les 150g
2018-01-02;4180123;MANDARINE Italie cat.I 1-X;1,8;2,1;2;le kg
2018-01-02;9120123;MANGUE Kent Brésil avion;5;5,5;5,2;le kg
2018-01-02;29300123;MANGUE Kent Brésil bateau;1,25;1,4;1,3;le kg
2018-01-02;13180123;MANGUE Kent Pérou avion;5,5;6,2;6;le kg
2018-01-02;490123;NAVET France botte;1;1,1;1,05;la botte
2018-01-02;360123;NAVET rond violet France;1;1,25;1,2;le kg
2018-01-02;57202403;NOIX AOP Grenoble sèche France cat.I +30mm;;;4,5;le kg
2018-01-02;57202404;NOIX AOP Grenoble sèche France cat.I +32mm;4,5;5;4,8;le kg
2018-01-02;57218245;NOIX AOP Grenoble sèche France cat.I +34mm;4,9;5,2;5;le kg
2018-01-02;16480123;OIGNON blanc frais Italie cat.I botte;0,7;1;0,8;la botte
2018-01-02;27820123;OIGNON jaune France cat.I 60-80mm;0,22;0,28;0,25;le kg
2018-01-02;4010123;ORANGE Naveline Espagne cat.I 3(81-92mm);0,9;1,1;1;le kg
2018-01-02;3620123;ORANGE Naveline Espagne cat.I 4(77-88mm);0,8;1;0,9;le kg
2018-01-02;3850123;ORANGE Naveline Espagne cat.I 5(73-84mm);0,6;0,8;0,7;le kg
2018-01-02;57224958;ORANGE New Hall Portugal cat.I 2(84-96mm);0,9;1;0,95;le kg
2018-01-02;24650123;ORANGE Salustiana Espagne cat.I 3(81-92mm) colis 10kg;1;1,1;1,05;le kg
2018-01-02;4030123;ORANGE Salustiana Espagne cat.I 4(77-88mm);0,85;1;0,9;le kg
2018-01-02;18640123;PERSIL frisé France;1,4;1,8;1,6;le kg
2018-01-02;9290123;PIMENT vert Maroc;0,8;1,2;1;le kg
2018-01-02;26200123;PLEUROTE France plateau;4,5;6;5,5;le kg
2018-01-02;13570123;PLEUROTE Import cat.I moyen;4;5,5;5;le kg
2018-01-02;57227165;POIRE Abate Fétel Italie cat.I 70-75mm plateau 1rg;1,7;2;1,9;le kg
2018-01-02;200123;POIREAU France cat.I;0,9;1,1;1;le kg
2018-01-02;16300123;POIRE Conférence France cat.I 70-75mm plateau 1rg;1,4;1,7;1,6;le kg
2018-01-02;26750123;POIRE Conférence Pays-Bas cat.I 65-70mm caisse;1,1;1,2;1,15;le kg
2018-01-02;16680123;POIRE Conférence Pays-Bas cat.I 65-70mm plateau 1rg;1,2;1,4;1,3;le kg
2018-01-02;16280123;POIRE Doyenne du comice France cat.I 75-80mm plateau 1rg;1,7;2,1;1,9;le kg
2018-01-02;16550123;POIRE Doyenne du comice France cat.I 80-85mm plateau 1rg;1,8;2,2;2;le kg
2018-01-02;28810123;POIRE Doyenne du comice Pays-Bas cat.I 80-85mm plateau 1rg;1,5;1,7;1,6;le kg
2018-01-02;17200123;POIRE Doyenne du comice Pays-Bas cat.I 80-90mm;1,3;1,4;1,35;le kg
2018-01-02;19570123;POIRE Louise Bonne France cat.I 60-65mm caisse;1,3;1,5;1,45;le kg
2018-01-02;57202087;POIRE Louise Bonne France cat.I 65-70mm plateau 1rg;1,6;2,2;1,75;le kg
2018-01-02;16250123;POIRE Passe-crassane France cat.I 80-85mm plateau 1rg;1,5;2,2;1,8;le kg
2018-01-02;26290123;POIVRON rouge carré Espagne cat.I gros;1,5;2;1,8;le kg
2018-01-02;26310123;POIVRON vert carré Espagne cat.I gros;1,6;2;1,8;le kg
2018-01-02;57226222;POMELOS blanc Chine;0,9;1,1;1;la pièce
2018-01-02;4210123;POMELOS rose Floride colis de 40;2;2,4;2,2;le kg
2018-01-02;3860123;POMELOS rose Floride colis de 48;1,7;2,2;2;le kg
2018-01-02;57227166;POMELOS rose Floride colis de 56;1,7;1,8;1,75;le kg
2018-01-02;14250123;POMELOS rose Turquie colis de 40;1;1,4;1,2;le kg
2018-01-02;57223575;POMELOS rouge Espagne colis de 45;1,05;1,15;1,1;le kg
2018-01-02;57219888;POMME Boskoop rouge France cat.I 201/270g plateau 1rg;1,65;1,8;1,7;le kg
2018-01-02;19030123;POMME Boskoop rouge Pays-Bas cat.I 75-85mm plateau 2rg;1,4;1,5;1,45;le kg
2018-01-02;57218292;POMME Chantecler France cat.I 170/220g plateau 2rg;1,4;1,55;1,5;le kg
2018-01-02;57218025;POMME Chantecler France cat.I 201/270g plateau 1rg;1,6;2;1,8;le kg
2018-01-02;26560123;POMME DE TERRE basique div.var.cons France lavée cat.I 40-70mm sac 10kg;0,25;0,32;0,28;le kg
