MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-20 au 01-01-21 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2020-01-02;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;2,2;2,8;2,5;le kg
2020-01-02;57216567;AIL violet sec Espagne cat.I 60-80mm;2,5;3;2,8;le kg
2020-01-02;24400123;AIL violet sec France cat.I 70-90mm sac 5kg;3,5;4,2;4;le kg
2020-01-02;57227481;ANANAS Cayenne lisse Afrique B(1100-1500g) avion carton;2;2,5;2,3;le kg
2020-01-02;57227482;ANANAS Sweet Amérique centrale B(1100-1500g) avion carton;2;2,5;2,2;le kg
2020-01-02;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;0,9;1,1;1;le kg
2020-01-02;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;0,9;1,1;1;le kg
2020-01-02;11420123;ARTICHAUT blanc Espagne cat.I +13cm colis de 12;2,8;3,2;3;le kg
2020-01-02;57218729;ARTICHAUT Calico Espagne cat.I colis de 12;5;5,5;5,2;le kg
2020-01-02;26870123;AUBERGINE Espagne cat.I;1,1;1,3;1,2;le kg
2020-01-02;3890123;AVOCAT Hass Espagne colis de 16;12;20;15;les 16 pièces
2020-01-02;4270123;AVOCAT Hass Espagne colis de 20;12;19;14;les 20 pièces
2020-01-02;25870123;BANANE Afrique extra;0,85;0,95;0,9;le kg
2020-01-02;25880123;BANANE Amérique centrale extra;0,85;0,95;0,9;le kg
2020-01-02;25900123;BANANE DOM extra;0,95;1,1;1,05;le kg
2020-01-02;19950123;BETTE Italie;1;1,6;1,3;le kg
2020-01-02;9420123;BETTERAVE ROUGE ronde cuite France;1,6;1,8;1,7;le kg
2020-01-02;10380123;CAROTTE Espagne cat.I botte;1,1;1,2;1,15;la botte
2020-01-02;9460123;CAROTTE France cat.I sac 10kg;0,55;0,7;0,6;le kg
2020-01-02;420123;CAROTTE France extra colis 12kg;0,75;0,9;0,8;le kg
2020-01-02;400123;CÉLERI-BRANCHE vert France cat.I;1;1,2;1,1;le kg
2020-01-02;370123;CÉLERI-RAVE France;1;1,3;1,2;le kg
2020-01-02;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;1,75;2,1;2;le kg
2020-01-02;28670123;CHICORÉE Frisée fine Espagne cat.I colis de 10;12;13;12,5;les 10 pièces
2020-01-02;57209364;CHICORÉE frisée France cat.I colis de 8;11;13;12;les 8 pièces
2020-01-02;25020123;CHICORÉE Scarole France cat.I colis de 8;11;13;12;les 8 pièces
2020-01-02;1260123;CHOU blanc France cat.I;0,55;0,75;0,7;le kg
2020-01-02;26220123;CHOU blanc Pays-Bas cat.I;0,55;0,7;0,6;le kg
2020-01-02;3250123;CHOU Brocoli Espagne cat.I;1,2;1,4;1,3;le kg
2020-01-02;9780123;CHOU DE BRUXELLES Pays-Bas cat.I;1,3;1,6;1,5;le kg
2020-01-02;27780123;CHOU FLEUR France couronné cat.I gros;7,5;8,5;8;les 6 pièces
2020-01-02;220123;CHOU rouge France cat.I;0,85;1,05;0,9;le kg
2020-01-02;9520123;CHOU rouge Pays-Bas cat.I sac;0,55;0,7;0,6;le kg
2020-01-02;290123;CHOU vert France cat.I colis de 6;5;6;5,5;les 6 pièces
2020-01-02;3770123;CITRON Espagne cat.I 4(58-67mm);1,4;1,6;1,5;le kg
2020-01-02;57228800;CITRON Espagne extra 4(58-67mm);1,3;1,8;1,6;le kg
2020-01-02;57229010;CLÉMENTINE Berkane Maroc cat.I 1;1,1;1,3;1,2;le kg
2020-01-02;24670123;CLÉMENTINE Berkane Maroc cat.I 2;1,3;1,4;1,3;le kg
2020-01-02;3580123;CLÉMENTINE Clémenvilla Espagne cat.I 1-X;1,2;1,6;1,5;le kg
2020-01-02;27180123;CLÉMENTINE Nules Espagne cat.I 1;1,5;1,7;1,6;le kg
2020-01-02;4640123;CLÉMENTINE Nules Espagne cat.I 2;1,3;1,5;1,4;le kg
2020-01-02;5200123;CLÉMENTINE Nules Espagne cat.I 3;1,2;1,4;1,3;le kg
2020-01-02;22240123;CLÉMENTINE Nules Espagne extra 1 colis 10kg;2;2,4;2,2;le kg
2020-01-02;57229048;CLÉMENTINE Nules Portugal cat.I 1;1,8;2;1,9;le kg
2020-01-02;9570123;CONCOMBRE Espagne cat.I 500-600g colis de 12;0,65;0,72;0,68;la pièce
2020-01-02;57224865;CONCOMBRE mini Espagne cat.I;;;2;le kg
2020-01-02;23760123;CONCOMBRE mini Jordanie cat.I;2,5;3,7;3;le kg
2020-01-02;57224650;COURGE Butternut France;0,8;1;0,9;le kg
2020-01-02;57210792;COURGE Potimarron France;0,8;1,1;1;le kg
2020-01-02;28140123;COURGETTE ronde Espagne cat.I plateau;1,8;2,2;1,9;le kg
2020-01-02;9170123;COURGETTE verte Espagne cat.I 14-21cm;1,1;1,3;1,2;le kg
2020-01-02;9580123;COURGETTE verte Maroc cat.I 14-21cm;0,8;1;0,9;le kg
2020-01-02;10350123;CRESSON France botte;;;1,4;la botte
2020-01-02;28680123;ÉCHALION France cat.I 30-50mm plateau;0,8;1,1;0,9;le kg
2020-01-02;440123;ÉCHALOTE France cat.I;0,8;1,2;1,1;le kg
2020-01-02;3130123;ENDIVE Nord-Picardie cat.I colis 5kg;1,6;1,8;1,7;le kg
2020-01-02;3120123;ENDIVE Nord-Picardie extra colis 5kg;1,8;2,1;2;le kg
2020-01-02;230123;ÉPINARD France cat.I;2,6;3,2;2,8;le kg
2020-01-02;3360123;FENOUIL Italie;1;1,4;1,3;le kg
2020-01-02;57213248;FRAISE Egypte cat.I barq.250g;6,8;7,5;7;le kg
2020-01-02;57209650;FRAMBOISE Maroc sous-abri barq.125g;6,4;10;8;le kg
2020-01-02;57221288;FRAMBOISE Portugal barq.125g;8;12;10,5;le kg
2020-01-02;17320123;HARICOT VERT Coco plat Maroc cat.I fin;1,6;1,8;1,7;le kg
2020-01-02;57227128;HARICOT VERT Coco plat Maroc cat.I très fin;2,2;2,8;2,5;le kg
2020-01-02;17330123;HARICOT VERT vert Kenya extra très fin;5;6;5,5;le kg
2020-01-02;17370123;HARICOT VERT vert Maroc cat.I fin;2;2,4;2,2;le kg
2020-01-02;57227035;HARICOT VERT vert Maroc cat.I très fin;3;3,4;3,2;le kg
2020-01-02;57221287;KAKI Espagne gros;1;1,8;1,4;le kg
2020-01-02;4230123;KAKI Espagne moyen;0,9;1,5;1,2;le kg
2020-01-02;57229109;KIWI Gold Italie cat.I  85-95g(33 fruits) colis 5,6kg;5,2;5,5;5,4;le kg
2020-01-02;29370123;KIWI Hayward France cat.I  85-95g(33 fruits) colis;2,2;2,5;2,3;le kg
2020-01-02;23810123;KIWI Hayward France cat.I  95-105g(30 fruits) colis;2,5;2,8;2,6;le kg
2020-01-02;57202331;KIWI Hayward Grèce cat.I 105-115g(27 fruits) colis;1,2;1,4;1,3;le kg
2020-01-02;27370123;LAITUE Batavia blonde France cat.I +400g colis de 12;8,5;10,5;9;les 12 pièces
2020-01-02;27380123;LAITUE Feuille de chêne blonde France cat.I +400g colis de 12;8,5;11;9,5;les 12 pièces
2020-01-02;29050123;LAITUE Feuille de chêne rouge France cat.I +400g colis de 12;8,5;11;9,5;les 12 pièces
2020-01-02;27750123;LAITUE Iceberg Espagne cat.I colis de 10;5,5;7;6,5;les 10 pièces
2020-01-02;27390123;LAITUE pommée France cat.I +400g colis de 12;8,5;11;9,5;les 12 pièces
2020-01-02;57200098;LITCHI Afrique du sud avion;4;5;4,5;le kg
