;Produit;Prix moyen;Variation;Prix min;Prix max
691; LAITUE pommée France cat.I colis de 12 (les 12 pièces) ;8.75; -0.25; 8.00; 9.00
692; LAITUE Batavia blonde France cat.I colis de 12 (la pièce) ;0.70; =; 0.70; 0.75
693; LAITUE Feuille de chêne blonde France cat.I colis de 12 (la pièce) ;0.70; =; 0.70; 0.75
694; LAITUE Feuille de chêne rouge France cat.I colis de 12 (la pièce) ;0.70; =; 0.70; 0.75
695; LAITUE pommée France cat.I colis de 12 (la pièce) ;0.75; =; 0.70; 0.85
696; LAITUE Batavia blonde Sud-Est cat.I colis de 12 (la pièce) ;0.46; =; 0.41; 0.50
697; LAITUE Feuille de chêne blonde Sud-Est cat.I colis de 12 (la pièce) ;0.46; =; 0.41; 0.50
698; LAITUE Batavia blonde France cat.I colis de 12 (la pièce) ;0.68; =; 0.65; 0.70
699; LAITUE Feuille de chêne blonde France cat.I colis de 12 (la pièce) ;0.68; =; 0.65; 0.70
700; LAITUE Feuille de chêne rouge France cat.I colis de 12 (la pièce) ;0.68; =; 0.65; 0.70
701; LAITUE pommée France cat.I colis de 12 (la pièce) ;0.77; =; 0.70; 0.80
702; LAITUE Batavia France biologique (la pièce) ;0.87; -0.06; 0.50; 1.06
703; LAITUE Feuille de chêne France biologique (la pièce) ;0.90; -0.01; 0.65; 1.00
704; LAITUE pommé France biologique (la pièce) ;0.95; +0.01; 0.83; 1.06
705; LAITUE Batavia blonde France cat.I colis de 12 ;0.70; =; 0.60; 0.90
706; LAITUE Batavia blonde U.E. cat.I colis de 12 ;0.70; =;  ;  
707; LAITUE Feuille de chêne blonde France cat.I colis de 12 ;0.75; =; 0.60; 0.90
708; LAITUE Feuille de chêne rouge France cat.I colis de 12 ;0.75; =; 0.60; 0.90
709; LAITUE Iceberg U.E. cat.I ;1.05; +0.10; 0.90; 1.20
710; LAITUE pommée France cat.I colis de 12 ;0.70; =; 0.55; 0.90
711; LAITUE pommée U.E. cat.I colis de 12 ;0.70; =;  ;  
712; LAITUE Romaine U.E. cat.I ;1.80; =;  ;  
713; LAITUE Sucrine U.E. cat.I ;2.25; =; 2.20; 2.40
714; LAITUE Batavia blonde France cat.I +400g colis de 12 (les 12 pièces) ;7.50; =; 6.80; 8.00
715; LAITUE Feuille de chêne blonde France cat.I +400g colis de 12 (les 12 pièces) ;7.50; =; 6.80; 8.00
716; LAITUE Feuille de chêne rouge France cat.I +400g colis de 12 (les 12 pièces) ;7.50; =; 6.80; 8.00
717; LAITUE Iceberg Espagne cat.I colis de 10 (les 10 pièces) ;9.50; =; 9.00; 10.00
718; LAITUE pommée France cat.I +400g colis de 12 (les 12 pièces) ;8.00; =; 7.00; 8.50
719; LAITUE Batavia France biologique (la pièce) ;0.84; =; 0.82; 0.87
720; LAITUE Feuille de chêne France biologique (la pièce) ;0.84; =; 0.82; 0.87
721; LAITUE pommé France biologique (la pièce) ;0.84; =; 0.82; 0.87
722; LAITUE Batavia blonde France cat.I colis de 12 (la pièce) ;0.82; =; 0.65; 1.00
723; LAITUE Feuille de chêne blonde France cat.I colis de 12 (la pièce) ;0.86; =; 0.65; 1.00
724; LAITUE Feuille de chêne rouge France cat.I colis de 12 (la pièce) ;0.86; =; 0.65; 1.00
725; LAITUE Iceberg Espagne cat.I colis de 9 (la pièce) ;0.98; =; 0.66; 1.20
726; LAITUE pommée France cat.I colis de 12 (la pièce) ;0.89; =; 0.65; 1.10
727; LAITUE Batavia France biologique (la pièce) ;0.91; =;  ;  
728; LAITUE Feuille de chêne blonde France biologique (la pièce) ;0.91; =;  ;  
729; LAITUE pommée France biologique (la pièce) ;0.92; +0.01;  ;  
730; LAITUE Batavia blonde France cat.I colis de 12 (les 12 pièces) ;7.80; =; 7.50; 9.80
731; LAITUE Feuille de chêne blonde France cat.I colis de 12 (les 12 pièces) ;7.80; =; 7.50; 9.80
732; LAITUE Feuille de chêne rouge France cat.I colis de 12 (les 12 pièces) ;7.80; =; 7.50; 9.80
733; LAITUE pommée France cat.I colis de 12 (les 12 pièces) ;7.80; =; 7.50; 9.80
734; LAITUE pommée Belgique cat.I colis de 12 ;9.50; =; 9.00; 10.00
735; LAITUE pommée Italie cat.I colis de 12 (les 12 pièces) ;8.50; =; 8.00; 9.00
736; LAITUE Batavia blonde Italie cat.I colis de 12 ;1.00; =;  ;  
737; LAITUE Iceberg Espagne cat.I colis de 10 ;1.40; =;  ;  
738; LAITUE pommée Allemagne sous-abri cat.I colis de 12 (les 12 pièces) ;12.50; -0.50; 12.00; 13.00
739; LAITUE pommée Belgique cat.I colis de 12 (les 12 pièces) ;8.50; -0.50; 7.50; 9.50
740; LAITUE pommée France cat.I colis de 12 (les 12 pièces) ;7.50; =; 7.00; 8.00
741; LAITUE pommée Italie cat.I colis de 12 (les 12 pièces) ;6.50; =; 6.00; 7.00
742; LAITUE Batavia France biologique (la pièce) ;1.29; =; 0.99; 1.95
743; LAITUE Feuille de chêne France biologique (la pièce) ;1.37; =; 1.00; 1.95
744; LAITUE pommé France biologique (la pièce) ;1.35; =; 1.10; 1.95
745; LAITUE Batavia France (la pièce) ;1.03; =; 0.85; 1.22
746; LAITUE Feuille de chêne France (la pièce) ;1.02; -0.01; 0.89; 1.22
747; LAITUE pommée-batavia-feuille de chêne France biologique (la pièce) ;1.61; +0.06; 1.39; 1.99
748; LAITUE pommée France (la pièce) ;1.04; +0.01; 0.99; 1.29
749; FRUIT DE LA PASSION Colombie ;6.60; =; 6.50; 7.50
750; FRUIT DE LA PASSION Vietnam ;10.00; =; 10.00; 11.50
751; FRUIT DE LA PASSION color.violet Vietnam ;12.50; +0.50; 12.00; 13.00
752; FRUIT DE LA PASSION color.violet Colombie ;6.50; =; 6.00; 6.80
753; FRUIT DE LA PASSION color.violet Vietnam ;11.00; =; 10.00; 11.50
754; AMANDE sèche Tunisie coque moyenne sac 5kg ;5.50; -0.30;  ;  
755; CORNICHON France moyen plateau ;6.00; =; 5.50; 6.80
756; NECTARINE hors Fr. cat.I ;23.00; =; 22.00; 25.00
757; PIMENT rouge Espagne biologique ;6.60; +1.20;  ;  
758; PIMENT vert Espagne biologique ;6.40; +1.00;  ;  
759; PIMENT Starter vert Maroc cat.I ;1.30; +0.15; 1.20; 1.40
760; PIMENT vert Maroc ;1.50; =; 1.30; 1.60
761; PIMENT vert Maroc ;1.40; =; 1.30; 1.50
762; PIMENT des oiseaux Madagascar ;17.00; =; 16.50; 17.50
763; PIMENT Lanterne Import avion ;6.20; +0.70; 6.00; 6.50
764; PIMENT Maroc ;1.88; =; 1.45; 2.40
765; ROQUETTE Roussillon botte (la botte) ;0.50; =;  ;  
766; ROQUETTE France biologique ;6.80;  ;  ;  
767; ROQUETTE Italie ;5.50; =; 5.00; 6.00
768; CÉLERI-RAVE Sud-Ouest plateau ;1.10; =; 1.00; 1.20
769; CÉLERI-RAVE Centre-Ouest plateau de 10 (la pièce) ;1.00;  ; 0.85; 1.10
770; CÉLERI-RAVE Centre-Ouest plateau de 8 (la pièce) ;1.00;  ; 0.85; 1.10
771; CÉLERI-RAVE Nord colis de 8 (la pièce) ;0.80; =; 0.70; 0.85
772; CÉLERI-RAVE France biologique ;1.83; +0.06; 1.60; 1.98
773; CÉLERI-RAVE France biologique ;2.04; =; 1.59; 2.99
774; CÉLERI-RAVE France ;0.90; =; 0.85; 1.05
775; CÉLERI-RAVE France plateau (la pièce) ;1.45; =; 1.30; 1.63
776; CÉLERI-RAVE France (la pièce) ;1.30; -0.10; 1.00; 1.80
777; CÉLERI-RAVE France ;0.80; =;  ;  
778; CÉLERI-RAVE Belgique plateau ;1.15; =; 1.00; 1.25
779; CÉLERI-RAVE France plateau ;1.10; =; 0.90; 1.15
780; CÉLERI-RAVE France biologique ;2.01; +0.07; 1.65; 2.34
781; CÉLERI-RAVE France plateau ;1.60; =;  ;  
782; CÉLERI-RAVE U.E. plateau ;1.50; =;  ;  
783; CÉLERI-RAVE France ;1.00; =; 0.85; 1.20
784; CÉLERI-RAVE France biologique ;1.91; =; 1.88; 1.95
785; CÉLERI-RAVE France ;1.33; =; 1.10; 1.50
786; CÉLERI-RAVE France biologique ;1.67; +0.11; 1.50; 1.83
787; CÉLERI-RAVE France plateau (la pièce) ;1.10; =; 1.10; 1.30
788; CÉLERI-RAVE France biologique ;3.57; +0.07; 2.90; 4.20
789; LAURIER France botte (les 10 bottes) ;5.50; =; 5.00; 6.00
790; GINGEMBRE Pérou biologique ;4.15; +0.40; 3.90; 4.50
791; GINGEMBRE Import biologique ;4.71; +0.05; 3.50; 6.20
792; GINGEMBRE Import biologique ;4.65; +0.38; 4.16; 5.55
793; GINGEMBRE Import ;4.20; =; 3.00; 5.45
794; GINGEMBRE Brésil ;4.30; -0.20;  ;  
795; GINGEMBRE Chine ;3.50;  ;  ;  
796; GINGEMBRE Import biologique ;4.25; -0.12; 4.01; 4.60
797; ANANAS Côte d'Ivoire ; ;  ;  ;  
798; ANANAS Côte d'Ivoire biologique ; ;  ;  ;  
799; ANANAS Ghana ; ;  ;  ;  
800; ANANAS Ghana biologique ; ;  ;  ;  
801; ANANAS Import biologique ;3.10; +0.09; 1.75; 4.75
802; ANANAS Import biologique vendu à la pièce (la pièce) ;1.94; +0.11; 1.60; 2.36
803; ANANAS Afrique B(1100-1500g) bateau ;1.20; =; 1.10; 1.33
804; ANANAS Cayenne lisse Afrique A(1500-2400g) avion ;2.80; =; 2.50; 2.80
805; ANANAS Pain de sucre Afrique avion ;2.90; =; 2.80; 3.00
806; ANANAS Sweet Amérique centrale A(1500-2400g) avion ;3.50; =; 3.30; 3.50
807; ANANAS Victoria Ile Maurice avion ;4.40; =; 4.30; 4.50
808; ANANAS Victoria Réunion avion ;4.80; =;  ;  
809; ANANAS Sweet Côte d'Ivoire B(1100-1500g) bateau (la pièce) ;1.65; +0.05; 1.50; 1.85
810; ANANAS Pain de sucre Afrique cat.I avion ;3.10; -0.05; 3.00; 3.30
811; ANANAS Sweet Afrique cat.I 1000-1200g bateau vendu à la pièce ;1.05; =; 1.00; 1.10
812; ANANAS Victoria Réunion cat.I avion carton ;5.10; -0.20; 4.50; 5.50
813; ANANAS Costa-Rica B(1100-1500g) bateau ;1.30; =; 1.10; 1.50
814; ANANAS Sweet Afrique cat.I B(1100-1500g) bateau carton ;1.40; +0.20; 1.20; 1.70
815; ANANAS Afrique B(1100-1500g) avion ;3.20; =; 2.80; 3.50
816; ANANAS Afrique B(1100-1500g) bateau (la pièce) ;1.30; =; 1.20; 1.40
817; ANANAS Victoria Ile Maurice moyen avion colis de 6 ;4.70; =; 4.50; 4.80
818; ANANAS Victoria Réunion avion carton ;4.90; =; 4.80; 5.40
819; ANANAS Import biologique ;2.87; +0.27; 1.75; 4.75
820; ANANAS Import biologique vendu à la pièce (la pièce) ;1.72; +0.26;  ;  
821; ANANAS Sweet Import cat.I B(1100-1500g) bateau ;1.40; =; 1.20; 1.50
822; ANANAS Cayenne lisse Afrique B(1100-1500g) avion carton ;2.50; =; 2.20; 3.00
823; ANANAS Sweet Amérique centrale B(1100-1500g) avion carton ;3.20; =; 3.00; 3.50
824; ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur ;0.85; =; 0.75; 1.00
825; ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur ;0.90; =; 0.80; 1.10
826; ANANAS Victoria Ile Maurice avion ;4.40; =;  ;  
827; ANANAS Victoria Réunion avion ;4.80;  ;  ;  
828; ANANAS Import biologique ;3.24; +0.08; 3.11; 3.35
829; ANANAS Afrique B(1100-1500g) bateau (la pièce) ;1.45; =; 0.95; 1.70
830; ANANAS Côte d'Ivoire B(1100-1500g) avion ;4.29; =; 3.80; 5.60
831; ANANAS Import cat.I avion ;2.95; =; 2.80; 3.50
832; ANANAS Import cat.I bateau ;1.30; =; 1.15; 1.40
833; ANANAS Import biologique vendu à la pièce (la pièce) ;2.85; -0.05; 1.65; 5.10
834; ANANAS standard (hors Victoria) (la pièce) ;1.88; -0.12; 1.29; 2.49
835; COULEMELLE France plateau ;8.50; =;  ;  
836; NÈFLE Espagne GG(grosse) ;3.00; =; 2.80; 3.20
837; NÈFLE Espagne G(moyenne) ;2.50; =; 2.20; 2.80
838; PISSENLIT vert Val de Loire plateau ;4.35; -0.15; 4.20; 4.50
839; PISSENLIT blanc Nord plateau 2kg ;7.40; -0.15;  ;  
840; PISSENLIT vert France ;10.28; =; 9.50; 11.95
841; RUTABAGA Rhône-Alpes plateau ;1.80; =;  ;  
842; RUTABAGA Centre-Ouest plateau ;0.95; =;  ;  
843; RUTABAGA France biologique ;2.32; +0.18; 1.70; 2.84
844; RUTABAGA France biologique ;2.14; +0.01; 1.70; 2.86
845; RUTABAGA France plateau ;1.90; =; 1.70; 2.09
846; RUTABAGA France plateau ;1.80; =;  ;  
847; RUTABAGA Val de Loire plateau ;1.50; =; 1.30; 1.60
848; RUTABAGA France biologique ;2.03; +0.01; 1.70; 2.49
849; RUTABAGA France ;1.50; =; 1.40; 1.80
850; RUTABAGA France biologique ;2.07; +0.03; 1.90; 2.20
851; CÈPE France cat.I ;33.00; =;  ;  
852; CÈPE France pied coupé cat.I moyen plateau ;35.00; =;  ;  
853; LIME Brésil bateau ;1.70; =; 1.50; 1.80
854; LIME Brésil bateau ;2.30; =; 2.00; 2.80
855; LIME Import avion ;6.10; =; 5.90; 6.20
856; LIME Import bateau ;2.10; =; 1.90; 2.20
857; LIME Import avion carton ;6.80; =;  ;  
858; LIME Import bateau carton ;2.55; =; 2.00; 2.90
859; LIME Brésil bateau conteneur ;1.70; =; 1.50; 2.00
860; GIROLLE Import pied coupé cat.I moyen ;29.40; =;  ;  
861; GIROLLE Import cat.I moyen ;22.00; -6.00;  ;  
862; ANETH Import botte (les 10 bottes) ;3.50; =; 3.20; 4.20
863; COURGE Butternut Roussillon ;1.00; =;  ;  
864; COURGE Butternut Sud-Est ;0.85; =; 0.70; 1.00
865; COURGE Potimarron Sud-Est ;1.00; =; 0.90; 1.10
866; COURGE Spaghetti Sud-Est ;1.10; =; 1.00; 1.20
867; COURGE Sud-Est ;0.45; =; 0.40; 0.50
868; COURGE Butternut France biologique ;1.58; +0.09; 1.40; 2.14
869; COURGE Potimarron France biologique ;1.45;  ;  ;  
870; COURGE Butternut Espagne biologique ;1.20; +0.10;  ;  
871; COURGE Butternut Espagne cat.I ;0.60; =;  ;  
872; COURGE Butternut France biologique ;1.85; -0.08; 1.30; 2.52
873; COURGE Potimarron France biologique ;1.83; -0.01; 1.45; 2.55
874; COURGE Butternut Espagne cat.I ;1.00; =; 0.85; 1.10
875; COURGE Butternut France cat.I ;1.00; =; 0.95; 1.10
876; COURGE Potimarron Import ;2.60; =; 2.20; 2.80
877; COURGE Butternut Sud-Est ;1.05; =; 1.00; 1.10
878; COURGE France ;0.60; =; 0.50; 0.75
879; COURGE Butternut France ;1.30;  ;  ;  
880; COURGE Butternut France ;0.85; +0.05; 0.80; 0.90
881; COURGE France ;0.80; +0.10; 0.70; 1.00
882; COURGE Potimarron France (la pièce) ;1.90; =; 1.70; 2.00
883; COURGE Potimarron France biologique ;1.79; +0.05; 1.45; 2.15
884; COURGE Butternut France cat.I caisse ;1.60; +0.10; 1.50; 1.80
885; COURGE Muscade France cat.I caisse ;1.00; =;  ;  
886; COURGE Butternut Import ;0.65; =; 0.60; 0.70
887; COURGE Potimarron Import ;2.20; =;  ;  
888; COURGE Butternut France biologique ;1.81; +0.02; 1.75; 1.92
889; COURGE Potimarron France biologique ;1.74; =;  ;  
890; COURGE France biologique ;2.95; +0.06; 2.29; 3.50
891; NOISETTE France coque sac 5kg ;5.70; +0.05; 5.50; 5.90
892; NOISETTE sèche France coque +22mm sac 5kg ;5.70; =; 5.50; 5.90
893; NOISETTE sèche France +22mm ;4.90; =; 4.80; 5.50
894; PITAHAYA color.rouge Asie du sud-est ;11.00; =; 10.00; 12.00
895; SALSIFIS U.E. biologique ;2.26; +0.06; 2.07; 3.06
896; SALSIFIS U.E. ;1.50; =;  ;  
897; SALSIFIS U.E. biologique ;2.07; =;  ;  
898; CERFEUIL France botte (les 10 bottes) ;4.00; =; 3.50; 4.50
899; LITCHI Import branche avion ;11.50; =; 11.00; 12.00
900; LITCHI Afrique du sud bateau ;3.50; =; 3.00; 4.20
901; GOMBO Import ;6.00; =; 5.50; 6.50
902; ANONE Espagne plateau ;2.50; -0.30; 2.30; 2.80
903; COURGETTE Rhône-Alpes cat.I 14-21cm plateau ;2.30; -0.30;  ;  
904; COURGETTE verte Sud-Est ;2.20;  ;  ;  
905; COURGETTE Espagne biologique cat.I ;1.55; +0.10; 1.30; 1.80
906; COURGETTE ronde Espagne biologique cat.I ;2.05;  ;  ;  
907; COURGETTE verte Espagne cat.I 14-21cm ;0.80; =; 0.70; 1.00
908; COURGETTE verte Maroc cat.I 14-21cm ;0.70; =; 0.65; 0.80
909; COURGETTE verte U.E. biologique ;1.62; +0.07; 1.20; 2.01
910; COURGETTE Espagne biologique ;1.70; +0.10; 1.35; 1.80
911; COURGETTE verte Espagne cat.I 14-21cm plateau ;1.15; -0.05; 0.90; 1.45
912; COURGETTE verte France cat.I 14-21cm plateau ;2.30; -0.30; 2.20; 2.50
913; COURGETTE ronde Espagne cat.I ;2.69; +0.09;  ;  
914; COURGETTE verte Espagne cat.I 14-21cm ;1.25; +0.10; 1.00; 1.35
915; COURGETTE verte France cat.I 14-21cm ;2.35; -0.28; 2.00; 2.80
916; COURGETTE verte Espagne cat.I 14-21cm plateau ;1.40; +0.10; 1.30; 1.50
917; COURGETTE verte France cat.I 14-21cm plateau ;2.80;  ;  ;  
918; COURGETTE verte Espagne cat.I ;1.15; +0.05; 1.10; 1.25
919; COURGETTE verte Espagne cat.I 14-21cm ;1.15; +0.05; 0.90; 1.30
920; COURGETTE Espagne cat.I 14-21cm plateau ;1.30; +0.10; 1.20; 1.40
921; COURGETTE France cat.I 14-21cm plateau ;2.90; +0.20; 2.60; 3.00
922; COURGETTE verte U.E. biologique ;1.50; -0.01; 1.20; 1.95
923; COURGETTE blanche U.E. cat.I plateau ;1.60; +0.05; 1.50; 1.60
924; COURGETTE ronde verte U.E. cat.I ;3.20; +0.40;  ;  
925; COURGETTE U.E. cat.I fleur plateau ;3.60; +0.30; 3.20; 4.50
926; COURGETTE verte U.E. cat.I 14-21cm colis 10kg ;1.45; +0.10; 1.35; 1.60
927; COURGETTE ronde Espagne cat.I plateau ;2.10; =; 2.00; 2.50
928; COURGETTE verte Espagne cat.I 14-21cm ;1.20; =; 1.00; 1.30
929; COURGETTE verte U.E. biologique ;1.46; +0.14; 1.25; 1.80
930; COURGETTE verte Espagne cat.I 14-21cm plateau ;1.41; =; 1.00; 1.85
931; COURGETTE verte France cat.I 14-21cm plateau ;3.73; =;  ;  
932; COURGETTE verte Espagne cat.I 14-21cm plateau ;1.20; =; 1.10; 1.30
933; COURGETTE verte France cat.I 14-21cm plateau ;2.60;  ; 2.60; 2.80
934; COURGETTE verte Italie cat.I 14-21cm plateau ;0.90; =;  ;  
935; COURGETTE verte U.E. biologique ;3.72; +0.68; 1.70; 6.99
936; COURGETTE longue verte hors Fr. biologique ;3.37; -0.20; 2.69; 5.32
937; COURGETTE longue verte hors Fr. filet 1kg ;1.68; -0.02; 1.39; 2.10
938; COURGETTE longue verte hors Fr. vrac ;2.02; +0.28; 1.49; 2.50
939; NOIX variétés diverses AOP Grenoble sèche Rhône-Alpes cat.I +28mm sac 5kg ;2.25; =; 1.80; 2.50
940; NOIX variétés diverses AOP Grenoble sèche Rhône-Alpes cat.I +30mm sac 5kg ;2.65; =; 2.30; 2.80
941; NOIX variétés diverses AOP Grenoble sèche Rhône-Alpes cat.I +32mm sac 5kg ;3.20; =; 2.70; 3.40
942; NOIX France biologique ;5.84; +0.07; 4.69; 7.76
943; NOIX AOP Grenoble sèche France cat.I +30mm sac 5kg ;3.90; =; 3.50; 4.54
944; NOIX sèche France cat.I +34mm sac 5kg ;4.30; =; 4.00; 4.50
945; NOIX AOP Grenoble sèche France cat.I +32mm ;3.90; =;  ;  
946; NOIX AOP Grenoble sèche France cat.I +34mm ;4.30; =; 3.80; 4.50
947; NOIX AOP Grenoble sèche France cat.I +32mm ;4.70; =; 4.50; 5.00
948; NOIX Franquette sèche France cat.I +32mm ;4.10; =; 3.90; 4.30
949; NOIX Franquette sèche France cat.I +34mm ;4.40; =; 4.20; 4.60
950; NOIX Franquette sèche France cat.I +36mm ;4.70; =; 4.60; 4.80
951; NOIX France biologique ;5.70; =; 5.46; 6.35
952; NOIX AOP Grenoble fraîche France cat.I +32mm sac 10kg ;4.65; -0.05; 4.50; 4.90
953; NOIX AOP Grenoble sèche France cat.I +30mm ;3.80; =; 3.50; 4.00
954; NOIX AOP Grenoble sèche France cat.I +32mm ;4.20; =; 4.00; 4.30
955; NOIX AOP Grenoble sèche France cat.I +34mm ;4.60; =; 4.50; 4.80
956; NOIX France biologique ;5.84; +0.17; 5.75; 6.02
957; NOIX France biologique ;8.73; -0.17; 6.60; 10.90
958; PLEUROTE France biologique ;9.82; +0.03; 7.50; 12.53
959; PLEUROTE U.E. biologique ;7.35; =; 3.56; 8.49
960; PLEUROTE Espagne cat.I ;6.30; =; 5.00; 7.38
961; PLEUROTE France plateau ;5.20; =; 5.00; 5.50
962; PLEUROTE Import plateau ;4.60; =; 4.50; 4.70
963; PLEUROTE France plateau ;4.75; =; 4.60; 4.80
964; PLEUROTE France biologique ;9.06; =; 7.92; 10.79
965; PLEUROTE France plateau ;5.50; =; 4.50; 6.00
966; PLEUROTE Import cat.I moyen ;4.50; =; 4.00; 5.00
967; PLEUROTE France biologique ;10.64; =; 9.47; 12.53
968; PLEUROTE U.E. biologique ;8.49; =;  ;  
969; PLEUROTE France plateau ;5.13; =; 4.80; 6.50
970; SATSUMA Clauselina Turquie cat.I tout-calibre colis 10kg (les 10kg) ;9.50; =; 9.00; 10.00
971; CERISE Amérique du sud cat.I +28mm ;14.00; =; 12.50; 17.50
972; CERISE Chili cat.I +24mm ;10.00; -1.00;  ;  
973; MÂCHE verte Rhône-Alpes ;7.50; =;  ;  
974; MÂCHE verte Val de Loire plateau 1kg ;5.25; =; 4.50; 6.00
975; MÂCHE verte Sud-Ouest ;5.00; =;  ;  
976; MÂCHE verte Roussillon ;7.50; =; 7.00; 8.00
977; MÂCHE verte France ;5.00; =;  ;  
978; MÂCHE verte Centre-Ouest plateau 1kg ;4.80; =;  ;  
979; MÂCHE verte Région nantaise barq.150g (les 150g) ;0.51; +0.03; 0.50; 0.60
980; MÂCHE verte Région nantaise Barq.150g thermo-scellée (les 150g) ;0.62; +0.02; 0.60; 0.70
981; MÂCHE verte Région nantaise plateau 1kg ;5.10; =; 5.00; 5.50
982; MÂCHE France biologique ;8.59; +0.12; 5.50; 9.53
983; MÂCHE Coquille Belgique caisse ;2.62; -3.05;  ;  
984; MÂCHE France biologique ;10.30; -0.15; 8.32; 12.00
985; MÂCHE blonde France ;8.30; +0.10; 5.80; 8.80
986; MÂCHE Coquille France barq.150g (les 150g) ;1.30; +0.05; 1.00; 1.38
987; MÂCHE verte Belgique plateau 1kg ;9.50; +0.50; 9.30; 9.60
988; MÂCHE Coquille France barq.150g ;7.80; =; 6.67; 9.47
989; MÂCHE verte France ;6.80; +0.20; 6.00; 7.00
990; MÂCHE verte France plateau 1kg ;9.20; -0.30;  ;  
991; MÂCHE Coquille France ;8.50; =; 8.00; 9.50
992; MÂCHE verte France ;7.50; =; 6.50; 8.00
993; MÂCHE verte Val de Loire Barq.150g thermo-scellée (les 150g) ;0.80; =; 0.75; 0.90
994; MÂCHE verte Val de Loire plateau 1kg ;5.50; =; 5.00; 6.00
995; MÂCHE France biologique ;9.27; -0.47; 8.32; 10.90
996; MÂCHE Coquille France plateau 1kg ;7.50; =; 7.00; 8.00
997; MÂCHE verte France barq.150g (les 150g) ;1.10; =; 1.00; 1.20
998; MÂCHE France biologique ;10.42; +0.41; 10.02; 10.80
999; MÂCHE verte France ;9.22; =; 8.00; 11.05
1000; MÂCHE France biologique ;12.62; =;  ;  
1001; MÂCHE verte France ;7.20; =; 7.00; 8.50
1002; MÂCHE France biologique ;19.08; +0.35; 14.00; 23.92
1003; GOYAVE Brésil colis 4kg ;10.00; =; 7.20; 11.90
1004; ARTICHAUT violet Roussillon bouquet (le bouquet) ;2.00; =;  ;  
1005; ARTICHAUT Calico non IGP Roussillon cat.I 11-13cm colis de 15 ;2.60; =; 2.30; 3.00
1006; ARTICHAUT Calico non IGP Roussillon cat.I +13cm colis de 12 ;2.80; =;  ;  
1007; ARTICHAUT violet Méditerranée biologique ;4.47; +0.32;  ;  
1008; ARTICHAUT blanc Espagne cat.I +13cm colis de 12 ;1.60;  ;  ;  
1009; ARTICHAUT Calico Espagne cat.I +13cm colis de 12 ;1.90; =;  ;  
1010; ARTICHAUT violet Espagne cat.I 3,5-6cm bouquet (le bouquet) ;1.80; =;  ;  
1011; ARTICHAUT violet U.E. biologique ;3.15; +0.28; 2.32; 5.40
1012; ARTICHAUT blanc Espagne cat.I colis de 12 ;2.00; =;  ;  
1013; ARTICHAUT Calico Espagne cat.I colis de 12 ;2.40; =; 2.30; 2.60
1014; ARTICHAUT Calico Espagne cat.I colis de 15 ;2.10; -0.10; 1.88; 2.20
1015; ARTICHAUT Calico Espagne cat.I 11-13cm ;2.80; -0.45; 2.50; 3.00
1016; ARTICHAUT Calico France cat.I 11-13cm colis de 15 ;3.50; -0.20;  ;  
1017; ARTICHAUT violet Espagne cat.I 3,5-6cm bouquet (le bouquet) ;2.20; +0.15; 2.00; 2.40
1018; ARTICHAUT violet Sud-Est cat.I 3,5-6cm bouquet (le bouquet) ;3.45; +0.05;  ;  
1019; ARTICHAUT Calico Espagne cat.I +13cm colis de 12 ;3.65; =; 3.50; 3.80
1020; ARTICHAUT Calico Espagne cat.I colis ;2.70; =;  ;  
1021; ARTICHAUT Calico Espagne cat.I colis de 15 ;2.60; -0.10; 2.55; 2.70
1022; ARTICHAUT Calico France cat.I +13cm colis de 12 ;2.80;  ;  ;  
1023; ARTICHAUT Calico Espagne colis de 12 ;2.80;  ; 2.80; 3.00
1024; ARTICHAUT Calico Espagne cat.I +13cm colis de 12 (la pièce) ;1.65; =; 1.45; 1.90
1025; ARTICHAUT violet U.E. biologique ;3.21; +0.55;  ;  
1026; ARTICHAUT Calico U.E. cat.I +13cm ;3.45; -0.10; 3.00; 3.80
1027; ARTICHAUT violet France cat.I bouquet ;2.55;  ;  ;  
1028; ARTICHAUT violet U.E. cat.I bouquet ;2.55; +0.05; 2.20; 3.00
1029; ARTICHAUT blanc Espagne cat.I +13cm colis de 12 ;2.00; =;  ;  
1030; ARTICHAUT Calico Espagne cat.I 11-13cm colis de 15 ;2.50; =;  ;  
1031; ARTICHAUT Calico France cat.I +13cm colis de 12 ;3.10; +0.10; 3.00; 3.20
1032; ARTICHAUT violet U.E. biologique ;3.10; +0.66; 2.50; 4.50
1033; ARTICHAUT blanc Espagne cat.I +13cm colis de 15 (la pièce) ;1.89; =; 1.15; 2.80
1034; ARTICHAUT Calico Espagne cat.I colis de 12 ;2.60; =; 2.50; 2.60
1035; ARTICHAUT rond de Naples Italie cat.I (la pièce) ;1.00; =; 0.95; 1.05
1036; CRESSON France botte ;1.40; =;  ;  
1037; CRESSON France botte (la botte) ;1.60; =;  ;  
1038; NOIX DE COCO Côte d'Ivoire colis de 8 (la pièce) ;0.85; =; 0.85; 1.00
1039; NOIX DE COCO Côte d'Ivoire colis de 15 (les 15 pièces) ;15.00; =;  ;  
1040; SAUGE Import botte (les 10 bottes) ;5.00; =; 4.50; 5.50
1041; POIRE Conférence IGP Savoie cat.I 65-70mm plateau 1rg ;1.45; =;  ;  
