;Produit;Prix moyen;Variation;Prix min;Prix max
82; RADIS noir France biologique ;3.20; +0.03; 2.32; 4.80
83; RADIS rouge France biologique (la botte) ;2.04; +0.07; 1.29; 2.50
84; KIWI Roussillon 105-115g(27 fruits) ;2.50; =;  ;  
85; KIWI Roussillon 105-115g(27 fruits) plateau (le plateau) ;11.00; =;  ;  
86; KIWI Roussillon 115-125g(25 fruits) ;2.50; =;  ;  
87; KIWI Roussillon 125-135g(23 fruits) ;2.50; =;  ;  
88; KIWI Roussillon  95-105g(30 fruits) ;2.20; =;  ;  
89; KIWI Hayward Rhône-Alpes cat.I 115-125g(25 fruits) plateau 1rg ;3.00; +0.10;  ;  
90; KIWI Hayward Rhône-Alpes cat.I 125-135g(23 fruits) plateau 1rg ;3.10; +0.05;  ;  
91; KIWI Hayward Rhône-Alpes cat.I 135g+(20 fruits) plateau 1rg ;3.20; =;  ;  
92; KIWI Hayward Rhône-Alpes cat.I  70-75g(42 fruits) barq.1kg ;2.30; +0.05;  ;  
93; KIWI Hayward Rhône-Alpes cat.I  95-105g(30 fruits) colis ;2.30; =;  ;  
94; KIWI Hayward Sud-Ouest cat.I 105-115g(27 fruits) plateau 1rg ;2.89; =; 2.70; 3.15
95; KIWI Hayward Sud-Ouest cat.I 115-125g(25 fruits) plateau 1rg ;2.90; =; 2.75; 3.20
96; KIWI Hayward Sud-Ouest cat.I 125-135g(23 fruits) plateau 1rg ;2.92; =; 2.53; 3.30
97; KIWI Hayward Sud-Ouest cat.I 135g+(20 fruits) plateau 1rg ;3.08; =; 2.80; 3.60
98; KIWI Hayward Sud-Ouest cat.I  70-75g(42 fruits) barq.1kg ;2.44; =; 2.30; 2.70
99; KIWI Hayward Sud-Ouest cat.I  75-80g(39 fruits) barq.1kg ;2.50; =; 2.45; 2.70
100; KIWI Hayward Sud-Ouest cat.I  80-85g(36 fruits) colis ;2.59; =; 2.52; 2.76
101; KIWI Hayward Sud-Ouest cat.I  85-95g(33 fruits) colis ;2.72; =; 2.64; 2.86
102; KIWI Hayward Sud-Ouest cat.I  95-105g(30 fruits) colis ;2.67; =; 2.60; 2.80
103; KIWI Hayward Sud-Ouest cat.II  65-70g(46 fruits) barq.1kg ;2.04; =; 1.80; 2.20
104; KIWI Hayward France biologique ;3.12; =;  ;  
105; KIWI Hayward Italie biologique cat.I ;3.10;  ; 2.85; 3.30
106; KIWI Gold U.E. biologique ;6.44; =; 5.50; 6.63
107; KIWI Hayward France biologique ;3.90; +0.15; 2.17; 6.51
108; KIWI Hayward U.E. biologique ;2.67; +0.06; 2.51; 3.50
109; KIWI Hayward France cat.I 105-115g(27 fruits) plateau 1rg ;3.55; =;  ;  
110; KIWI Hayward France cat.I  85-95g(33 fruits) colis ;2.95; =; 2.80; 3.10
111; KIWI Hayward France cat.I  95-105g(30 fruits) colis ;3.15; =; 2.80; 3.40
112; KIWI Hayward France cat.I  95-105g(30 fruits) plateau 1rg ;3.35; =;  ;  
113; KIWI Hayward Grèce cat.I  85-95g(33 fruits) colis ;1.70; =;  ;  
114; KIWI Hayward Grèce cat.I  95-105g(30 fruits) colis ;1.80; =; 1.75; 1.85
115; KIWI Hayward Italie cat.I 105-115g(27 fruits) colis ;2.00; =;  ;  
116; KIWI Hayward Italie cat.I 105-115g(27 fruits) plateau 1rg ;2.15; =;  ;  
117; KIWI Hayward Italie cat.I  85-95g(33 fruits) colis ;1.80; =;  ;  
118; KIWI Hayward Italie cat.I  95-105g(30 fruits) colis ;1.90; =;  ;  
119; KIWI Hayward France cat.I  95-105g(30 fruits) colis ;2.85; +0.05; 2.50; 3.35
120; KIWI Hayward France cat.I 115-125g(25 fruits) plateau 1rg ;4.40; =; 3.85; 5.00
121; KIWI Hayward France cat.I  95-105g(30 fruits) colis ;3.00; =; 2.80; 3.40
122; KIWI Hayward France cat.I 105-115g(27 fruits) plateau (le colis) ;11.00; -0.50;  ;  
123; KIWI Hayward U.E. cat.I 105-115g(27 fruits) colis ;1.95; +0.05; 1.60; 2.20
124; KIWI Hayward France cat.I 105-115g(27 fruits) plateau 1rg ;4.20; =; 3.30; 4.80
125; KIWI Hayward France cat.I  75-80g(39 fruits) colis ;2.90; =; 2.70; 3.00
126; KIWI Hayward France cat.I  85-95g(33 fruits) plateau 1rg ;3.70; =; 3.00; 4.40
