MIN de Rungis : fruits et légumes 1 - (Fruits et Légumes - Grossistes) du 01-01-15 au 01-01-16 - RNM
Date;Code libellé;Libellé;Mini;Maxi;Moyen;Unité prix
2015-01-02;20310123;AIL blanc sec Espagne cat.I 60-80mm sac 5kg;2,3;2,5;2,4;le kg
2015-01-02;26830123;AIL violet sec France cat.I 60-80mm;2,8;3,5;3;le kg
2015-01-02;28830123;ANANAS Afrique B(1100-1500g) avion;2;2,2;2,1;le kg
2015-01-02;24530123;ANANAS Sweet Costa-Rica cat.I B(1100-1500g) bateau conteneur;0,85;1;0,9;le kg
2015-01-02;57218041;ANANAS Sweet Côte d'Ivoire cat.I B(1100-1500g) bateau conteneur;0,85;1,1;0,95;le kg
2015-01-02;9410123;ARTICHAUT blanc Espagne cat.I 11-13cm colis de 18;1,3;1,5;1,4;le kg
2015-01-02;11420123;ARTICHAUT blanc Espagne cat.I +13cm colis de 12;2,1;2,3;2,2;le kg
2015-01-02;26870123;AUBERGINE Espagne cat.I;1,3;1,5;1,4;le kg
2015-01-02;3890123;AVOCAT Hass Espagne colis de 16;9,5;10,5;10;les 16 pièces
2015-01-02;4270123;AVOCAT Hass Espagne colis de 20;9,5;10,5;10;les 20 pièces
2015-01-02;25870123;BANANE Afrique extra;0,9;0,95;0,93;le kg
2015-01-02;25880123;BANANE Amérique centrale extra;0,9;0,95;0,93;le kg
2015-01-02;25900123;BANANE DOM extra;0,9;0,95;0,93;le kg
2015-01-02;19950123;BETTE Italie;0,9;1,4;1,2;le kg
2015-01-02;9420123;BETTERAVE ROUGE ronde cuite France;1,7;1,8;1,75;le kg
2015-01-02;10380123;CAROTTE Espagne cat.I botte;0,85;1;0,9;la botte
2015-01-02;9460123;CAROTTE France cat.I sac 10kg;0,3;0,4;0,35;le kg
2015-01-02;420123;CAROTTE France extra colis 12kg;0,45;0,55;0,5;le kg
2015-01-02;9480123;CÉLERI-BRANCHE vert Italie cat.I;0,85;0,95;0,9;le kg
2015-01-02;370123;CÉLERI-RAVE France;0,75;0,9;0,8;le kg
2015-01-02;23500123;CHAMPIGNON DE PARIS Pologne pied coupé cat.I plateau;1,9;2,05;2;le kg
2015-01-02;28670123;CHICORÉE Frisée fine Espagne cat.I colis de 10;11;12;11,5;les 10 pièces
2015-01-02;57209364;CHICORÉE frisée France cat.I colis de 8;11;12;11,5;les 8 pièces
2015-01-02;25020123;CHICORÉE Scarole France cat.I colis de 8;11;12;11,5;les 8 pièces
2015-01-02;26220123;CHOU blanc Pays-Bas cat.I;0,4;0,55;0,5;le kg
2015-01-02;3250123;CHOU Brocoli Espagne cat.I;1,1;1,3;1,2;le kg
2015-01-02;9780123;CHOU DE BRUXELLES Pays-Bas cat.I;1;1,2;1,1;le kg
2015-01-02;10320123;CHOU FLEUR Espagne couronné cat.I gros;7;8;7,5;les 8 pièces
2015-01-02;27780123;CHOU FLEUR France couronné cat.I gros;10,5;12;11;les 6 pièces
2015-01-02;9520123;CHOU rouge Pays-Bas cat.I sac;0,4;0,5;0,45;le kg
2015-01-02;290123;CHOU vert France cat.I colis de 6;4,8;5,5;5;les 6 pièces
2015-01-02;3770123;CITRON Espagne cat.I 4(58-67mm);1,05;1,15;1,1;le kg
2015-01-02;24670123;CLÉMENTINE Berkane Maroc cat.I 2;0,95;1,05;1;le kg
2015-01-02;19340123;CLÉMENTINE Berkane Maroc cat.I 3;0,9;1;0,95;le kg
2015-01-02;3580123;CLÉMENTINE Clémenvilla Espagne cat.I 1-X;1,2;1,5;1,3;le kg
2015-01-02;27310123;CLÉMENTINE Corse cat.I 2;2;2,2;2,1;le kg
2015-01-02;27320123;CLÉMENTINE Corse cat.I 3;1,9;2,1;2;le kg
2015-01-02;27330123;CLÉMENTINE Corse cat.I 4;1,5;1,7;1,6;le kg
2015-01-02;27180123;CLÉMENTINE Nules Espagne cat.I 1;0,9;1,1;1;le kg
2015-01-02;4640123;CLÉMENTINE Nules Espagne cat.I 2;0,8;1;0,9;le kg
2015-01-02;5200123;CLÉMENTINE Nules Espagne cat.I 3;0,7;0,85;0,8;le kg
2015-01-02;23820123;CLÉMENTINE Nules Espagne extra 2 colis 10kg;1,2;1,6;1,5;le kg
2015-01-02;57200906;CLÉMENTINE Or Israël cat.I 1-X;2;2,3;2,2;le kg
2015-01-02;9570123;CONCOMBRE Espagne cat.I 500-600g colis de 12;0,38;0,42;0,4;la pièce
2015-01-02;23760123;CONCOMBRE mini Jordanie cat.I;3;3,4;3,2;le kg
2015-01-02;57210792;COURGE Potimarron France;1;1,2;1,1;le kg
2015-01-02;9170123;COURGETTE verte Espagne cat.I 14-21cm;1,1;1,2;1,15;le kg
2015-01-02;9580123;COURGETTE verte Maroc cat.I 14-21cm;0,75;0,85;0,8;le kg
2015-01-02;10350123;CRESSON France botte;1,2;1,3;1,25;la botte
2015-01-02;28680123;ÉCHALION France cat.I 30-50mm plateau;0,75;0,85;0,8;le kg
2015-01-02;440123;ÉCHALOTE France cat.I;0,7;0,9;0,8;le kg
2015-01-02;3130123;ENDIVE Nord-Picardie cat.I colis 5kg;1,2;1,4;1,3;le kg
2015-01-02;3120123;ENDIVE Nord-Picardie extra colis 5kg;1,5;1,8;1,6;le kg
2015-01-02;230123;ÉPINARD France cat.I;2,4;2,6;2,5;le kg
2015-01-02;3360123;FENOUIL Italie;1,1;1,4;1,2;le kg
2015-01-02;57213248;FRAISE Egypte cat.I barq.250g;4,5;5,5;5;le kg
2015-01-02;3280123;FRAISE standard Espagne cat.I barq.250g;5,5;6,5;6;le kg
2015-01-02;25000123;FRAISE standard Maroc cat.I barq.500g;4,5;5,5;5;le kg
2015-01-02;19640123;FRAMBOISE Espagne barq.125g;14;16;15;le kg
2015-01-02;17320123;HARICOT VERT Coco plat Maroc cat.I fin;1,5;2;1,6;le kg
2015-01-02;17390123;HARICOT VERT vert Burkina Faso extra très fin;3,5;4,2;3,8;le kg
2015-01-02;17330123;HARICOT VERT vert Kenya extra très fin;5;5,8;5,5;le kg
2015-01-02;19910123;KIWI Hayward France cat.I 105-115g(27 fruits) plateau 1rg;1,9;2,1;2;le kg
2015-01-02;57213204;KIWI Hayward France cat.I  85-95g(33 fruits);1,6;1,7;1,65;le kg
2015-01-02;23810123;KIWI Hayward France cat.I  95-105g(30 fruits) colis;1,6;1,8;1,7;le kg
2015-01-02;22490123;KIWI Hayward France cat.I  95-105g(30 fruits) plateau 1rg;1,8;2;1,9;le kg
