;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
0;Marché de Lyon-Corbas carreau : fruits et légumes; BETTE Rhône-Alpes (le kg) ;  ; 1.45; 1.45; 1.41; 1.31; 1.31; 1.31; 1.40; 1.35; 1.39; 1.75; 1.70
1;Marché de Perpignan carreau : fruits et légumes; BETTE Roussillon botte (la botte) ; 1.10; 1.10; 1.10;  ; 1.10; 1.10; 1.10; 1.10; 1.10; 1.10; 1.10; 1.10
2;Marché de Perpignan carreau : fruits et légumes; BETTE Roussillon pied entier (le kg) ; 1.00; 1.00; 1.00;  ;  ;  ;  ;  ;  ;  ;  ;  
3;MIN d'Agen carreau : fruits et légumes; BETTE Sud-Ouest botte (les 12 bottes) ;  ;  ;  ; 13.00; 13.00;  ; 14.00; 15.50;  ;  ; 18.00; 16.25
4;MIN de Cavaillon carreau : fruits et légumes; BETTE Sud-Est (le kg) ;  ;  ;  ;  ;  ;  ; 1.00; 1.33; 1.50; 1.50; 1.27; 1.20
5;MIN de Châteaurenard carreau : fruits et légumes; BETTE Sud-Est (le kg) ; 1.35;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
6;Bassins Sud-Est et Roussillon : fruits et légumes bio; BETTE Méditerranée biologique plateau (le kg) ; 1.82; 1.83;  ;  ;  ;  ; 1.77; 1.80; 1.75; 1.80; 2.00; 1.79
7;Bassins Sud-Est et Roussillon : fruits et légumes bio; BETTE Méditerranée pied entier biologique plateau (le kg) ; 1.88;  ;  ;  ;  ;  ;  ;  ;  ; 1.65; 1.85;  
8;France : fruits et légumes bio - expédition; BETTE France biologique vrac (le kg) ; 1.80; 1.81; 1.60; 1.80; 1.47; 1.65; 1.83; 1.74; 1.81; 1.94; 2.11; 1.97
9;France : fruits et légumes bio - import; BETTE Espagne biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.55; 1.50; 1.39
10;France : fruits et légumes bio - grossistes; BETTE France biologique vrac (le kg) ; 2.31; 2.47; 2.46; 2.46; 2.29; 2.42; 2.45; 2.36; 2.33; 2.31; 2.44; 2.42
11;Marché de Lyon-Corbas : fruits et légumes; BETTE France plateau (le kg) ; 1.57; 1.57; 1.60; 1.54; 1.50; 1.49; 1.38; 1.46; 1.42; 1.54; 2.10; 1.90
12;Marché de Lyon-Corbas : fruits et légumes; BETTE Italie pied entier (le kg) ; 1.10; 1.10;  ;  ;  ;  ; 1.11; 1.12; 1.07; 1.07; 1.10; 1.07
13;MIN d'Avignon-Cavaillon : fruits et légumes; BETTE France pied entier plateau (le kg) ;  ;  ;  ; 2.00; 2.10; 2.17; 1.75; 1.70; 1.71; 1.74; 1.70; 1.70
14;MIN d'Avignon-Cavaillon : fruits et légumes; BETTE Italie pied entier plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.40; 1.35; 1.35
15;MIN de Bordeaux-Brienne : fruits et légumes; BETTE France plateau (la botte) ;  ;  ;  ;  ;  ; 1.55; 1.70; 1.48; 1.50; 1.60; 1.84; 1.80
16;MIN de Bordeaux-Brienne : fruits et légumes; BETTE Italie plateau (le kg) ;  ;  ;  ;  ;  ; 1.50; 1.60; 1.60;  ; 1.60; 1.46; 1.47
17;MIN de Nantes : fruits et légumes; BETTE France plateau (le kg) ;  ;  ; 1.57; 1.55; 1.55; 1.52; 1.50; 1.50; 1.52; 1.90; 1.93; 1.77
18;MIN de Nantes : fruits et légumes bio; BETTE France biologique vrac (le kg) ; 2.19; 2.24;  ; 2.44; 2.20; 2.33; 2.22; 2.02; 2.22; 2.18; 2.49; 2.23
19;MIN de Nice : fruits et légumes; BETTE France pied entier moyenne botte (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.00;  ;  
20;MIN de Nice : fruits et légumes; BETTE U.E. pied entier moyenne botte (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.30; 1.30; 1.25
21;MIN de Rungis : fruits et légumes 1; BETTE France (le kg) ;  ;  ; 1.70; 1.70; 1.58; 1.49; 1.40; 1.40;  ;  ;  ;  
22;MIN de Rungis : fruits et légumes 1; BETTE Italie (le kg) ; 1.20; 1.20; 1.20;  ;  ;  ;  ; 1.40; 1.30; 1.34; 1.50; 1.50
23;MIN de Rungis : fruits et légumes bio; BETTE France biologique vrac (le kg) ; 2.35; 2.48; 2.27; 2.33; 2.32; 2.49; 2.38; 2.37; 2.28; 2.26; 2.35; 2.44
24;MIN de Strasbourg : fruits et légumes; BETTE France plateau (le kg) ;  ;  ;  ;  ;  ;  ; 1.93; 1.87; 1.76; 1.90; 2.23; 2.15
25;MIN de Strasbourg : fruits et légumes bio; BETTE France biologique (le kg) ;  ;  ;  ;  ;  ;  ; 2.53; 2.58; 2.63; 2.63; 2.64; 2.54
26;Bio magasins spécialisés (DRIVE); BETTE France biologique vrac (le kg) ;  ;  ;  ;  ;  ;  ;  ; 3.70; 3.68; 3.87; 3.81; 3.88
27;Marché de Lyon-Corbas : fruits et légumes; FRUIT DE LA PASSION Colombie (le kg) ; 7.16; 7.97; 6.33; 5.53; 5.82; 6.03; 6.39; 6.15; 6.47; 6.93; 6.38; 6.52
28;Marché de Lyon-Corbas : fruits et légumes; FRUIT DE LA PASSION Vietnam (le kg) ; 11.52; 13.19; 12.69; 12.19; 12.00; 11.64; 11.32; 11.47; 11.23; 11.00; 11.07; 10.28
29;MIN de Bordeaux-Brienne : fruits et légumes; FRUIT DE LA PASSION color.violet Vietnam (le kg) ;  ;  ;  ; 13.86; 13.78; 13.93; 13.71; 13.24; 12.93; 12.43; 12.25; 12.18
30;MIN de Nantes : fruits et légumes; FRUIT DE LA PASSION Import (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 11.66; 11.00;  ;  
31;MIN de Rungis : fruits et légumes 2; FRUIT DE LA PASSION color.violet Colombie (le kg) ;  ; 7.03; 7.20; 5.50; 5.50; 5.50; 5.50; 5.75; 6.00; 6.00; 6.00; 6.40
32;MIN de Rungis : fruits et légumes 2; FRUIT DE LA PASSION color.violet Vietnam (le kg) ;  ; 13.50; 12.20; 10.25; 11.00; 11.00; 11.00; 10.25; 11.00; 11.00; 10.62; 10.90
33;MIN de Toulouse : fruits et légumes; FRUIT DE LA PASSION color.violet Vietnam (le kg) ;  ;  ;  ;  ;  ;  ;  ; 11.50; 12.12; 11.25; 11.00;  
34;Marché de Perpignan carreau : fruits et légumes; CHICORÉE frisée Roussillon colis de 6 (les 6 pièces) ; 7.00; 7.00; 7.00;  ;  ;  ;  ; 7.50; 7.50; 7.50; 7.50; 7.50
35;Marché de Perpignan carreau : fruits et légumes; CHICORÉE frisée Roussillon colis de 8 (les 8 pièces) ; 8.00; 8.00; 8.00;  ;  ;  ;  ;  ;  ;  ;  ;  
36;Marché de Perpignan carreau : fruits et légumes; CHICORÉE Scarole Roussillon colis de 6 (les 6 pièces) ; 7.00; 7.00; 7.00;  ;  ;  ;  ; 7.50; 7.50; 7.50; 7.50; 7.50
37;Marché de producteurs de Vivy : fruits et légumes; CHICORÉE Cornette Val de Loire cat.I (le kg) ;  ;  ;  ;  ;  ;  ; 2.00; 2.00; 2.01; 2.15; 2.24;  
38;MIN de Cavaillon carreau : fruits et légumes; CHICORÉE frisée Sud-Est (la pièce) ;  ;  ;  ;  ;  ;  ; 1.20; 1.20; 1.20; 1.20; 1.27; 1.20
39;MIN de Cavaillon carreau : fruits et légumes; CHICORÉE Scarole Sud-Est (la pièce) ;  ; 1.00; 1.00; 1.00;  ;  ;  ;  ;  ;  ;  ;  
40;MIN de Châteaurenard carreau : fruits et légumes; CHICORÉE frisée Sud-Est (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 0.70; 0.70;  ;  ;  
41;MIN de Châteaurenard carreau : fruits et légumes; CHICORÉE Scarole Sud-Est (la pièce) ;  ;  ;  ;  ;  ;  ; 1.25; 1.25;  ;  ;  ;  
42;Bassin Roussillon : fruits et légumes; CHICORÉE frisée Roussillon cat.I colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.20; 1.20; 1.28; 1.30; 1.30
43;Bassin Roussillon : fruits et légumes; CHICORÉE Scarole Roussillon cat.I colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.20; 1.10; 1.28; 1.30; 1.25
44;Bassins Sud-Est et Roussillon : fruits et légumes bio; CHICORÉE frisée Méditerranée biologique colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.19; 1.23; 1.19; 1.36;  
45;Bassins Sud-Est et Roussillon : fruits et légumes bio; CHICORÉE Scarole Méditerranée biologique colis de 8 (la pièce) ;  ;  ;  ;  ;  ;  ;  ; 1.19; 1.23; 1.03; 1.43; 1.23
46;Bassin Sud-Est : fruits et légumes 1; CHICORÉE frisée Sud-Est cat.I (la pièce) ; 1.38; 1.35;  ;  ;  ;  ;  ; 1.31; 1.27;  ;  ;  
47;Bassin Sud-Est : fruits et légumes 1; CHICORÉE Scarole Sud-Est cat.I (la pièce) ; 1.39; 1.35;  ;  ;  ;  ;  ; 1.32; 1.28;  ;  ;  
48;France : fruits et légumes bio - expédition; CHICORÉE frisée France biologique (la pièce) ;  ; 1.12; 1.12;  ;  ; 1.18; 1.31; 1.18; 1.24; 1.21; 1.30; 1.09
49;France : fruits et légumes bio - expédition; CHICORÉE Scarole France biologique (la pièce) ;  ; 1.08; 1.06;  ;  ; 1.18; 1.31; 1.21; 1.31; 1.10; 1.33; 1.14
50;France : fruits et légumes bio - grossistes; CHICORÉE frisée France biologique (la pièce) ; 1.53; 1.61; 1.36;  ;  ; 1.47; 1.43; 1.51; 1.54; 1.61; 1.41; 1.44
51;France : fruits et légumes bio - grossistes; CHICORÉE Scarole France biologique (la pièce) ; 1.53; 1.60;  ;  ;  ; 1.47; 1.44; 1.40; 1.57; 1.50; 1.47; 1.49
52;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE frisée Espagne cat.I colis de 10 (la pièce) ; 1.65;  ;  ;  ;  ;  ;  ;  ; 1.52; 1.64; 1.66; 1.68
53;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE frisée France cat.I colis de 10 (la pièce) ; 1.69; 1.70; 1.67; 1.63; 1.64; 1.53; 1.53; 1.60; 1.57; 1.62;  ; 1.76
54;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE Rouge de Trévise Allemagne cat.I (le kg) ;  ;  ; 2.44; 2.40; 2.37; 2.48; 2.66; 2.64;  ;  ;  ;  
55;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE Rouge de Trévise Italie cat.I (le kg) ; 2.29; 2.08; 2.27; 2.18; 2.21; 2.52; 2.54; 2.38; 2.24; 2.16; 1.94; 1.98
56;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE Scarole Espagne cat.I colis de 10 (la pièce) ; 1.65;  ;  ;  ;  ;  ;  ;  ; 1.52; 1.64; 1.66; 1.68
57;Marché de Lyon-Corbas : fruits et légumes; CHICORÉE Scarole France cat.I colis de 10 (la pièce) ; 1.70; 1.70; 1.67; 1.63; 1.64; 1.55; 1.54; 1.60; 1.55; 1.58;  ; 1.76
58;MIN d'Avignon-Cavaillon : fruits et légumes; CHICORÉE frisée Espagne cat.I (la pièce) ; 1.70; 1.48; 1.49; 1.55; 1.55;  ;  ;  ;  ; 1.85; 1.80; 1.82
59;MIN d'Avignon-Cavaillon : fruits et légumes; CHICORÉE frisée France cat.I (la pièce) ; 1.85; 1.83; 1.81; 1.79; 1.75; 1.70; 1.73; 1.70; 1.68; 1.70; 1.60; 1.60
60;MIN d'Avignon-Cavaillon : fruits et légumes; CHICORÉE Rouge de Trévise Italie cat.I (le kg) ; 3.00; 2.92; 3.09; 2.84; 3.07; 3.11; 3.22; 3.20; 3.04; 3.02; 2.98; 2.94
61;MIN d'Avignon-Cavaillon : fruits et légumes; CHICORÉE Scarole Espagne cat.I (la pièce) ; 1.70; 1.48; 1.53; 1.58; 1.55;  ;  ;  ;  ; 1.85; 1.80; 1.77
62;MIN d'Avignon-Cavaillon : fruits et légumes; CHICORÉE Scarole France cat.I (la pièce) ; 1.85; 1.83; 1.76; 1.75; 1.73; 1.68; 1.74; 1.74; 1.68; 1.70; 1.60; 1.60
63;MIN de Lomme-Lille : fruits et légumes; CHICORÉE frisée Espagne cat.I (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.77; 1.65
64;MIN de Lomme-Lille : fruits et légumes; CHICORÉE frisée France cat.I (la pièce) ;  ;  ;  ;  ;  ; 1.60; 1.66; 1.75; 1.70; 1.80; 1.75; 1.73
65;MIN de Lomme-Lille : fruits et légumes; CHICORÉE Scarole Espagne cat.I (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.79; 1.65
66;MIN de Lomme-Lille : fruits et légumes; CHICORÉE Scarole France cat.I (la pièce) ;  ;  ;  ;  ;  ; 1.60; 1.68; 1.77; 1.70; 1.80; 1.75; 1.73
67;MIN de Marseille : fruits et légumes; CHICORÉE frisée France cat.I (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.62;  ;  
68;MIN de Nantes : fruits et légumes; CHICORÉE frisée France cat.I colis de 8 (la pièce) ;  ;  ;  ; 1.50; 1.55; 1.55; 1.72; 1.73; 1.75; 1.79; 1.88; 1.88
69;MIN de Nantes : fruits et légumes; CHICORÉE Scarole France cat.I colis de 8 (la pièce) ;  ;  ;  ; 1.50; 1.55; 1.55; 1.72; 1.77; 1.75; 1.79; 1.88; 1.88
70;MIN de Nantes : fruits et légumes bio; CHICORÉE frisée France biologique (la pièce) ;  ;  ;  ;  ;  ; 1.58; 1.53; 1.62; 1.68;  ;  ; 1.55
71;MIN de Nantes : fruits et légumes bio; CHICORÉE Scarole France biologique (la pièce) ;  ;  ;  ;  ;  ; 1.58;  ; 1.57; 1.60;  ; 1.53; 1.54
72;MIN de Nice : fruits et légumes; CHICORÉE Rouge de Trévise Italie colis de 6 (le kg) ; 2.49; 2.48; 2.25; 2.36; 2.25; 2.54; 2.65; 2.53; 2.34; 2.34; 2.38; 2.36
73;MIN de Rungis : fruits et légumes 1; CHICORÉE frisée Espagne cat.I colis de 8 (les 8 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ; 11.00; 11.68; 12.35; 11.00
74;MIN de Rungis : fruits et légumes 1; CHICORÉE Frisée fine Espagne cat.I colis de 10 (les 10 pièces) ; 11.00; 11.00;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
75;MIN de Rungis : fruits et légumes 1; CHICORÉE frisée France cat.I colis de 8 (les 8 pièces) ; 14.00; 13.53; 13.00; 13.00; 13.00; 13.00; 12.24; 12.60; 11.32; 11.42;  ;  
76;MIN de Rungis : fruits et légumes 1; CHICORÉE Scarole Espagne cat.I colis de 8 (les 8 pièces) ;  ;  ;  ;  ;  ;  ;  ;  ; 11.00; 11.60; 12.20; 11.00
77;MIN de Rungis : fruits et légumes 1; CHICORÉE Scarole France cat.I colis de 8 (les 8 pièces) ; 14.00; 13.53; 13.00; 13.00; 13.00; 13.00; 12.24; 12.60; 11.32; 11.43;  ;  
78;MIN de Rungis : fruits et légumes bio; CHICORÉE frisée France biologique (la pièce) ;  ;  ; 1.29;  ;  ;  ; 1.39; 1.31; 1.48; 1.57; 1.32; 1.40
79;MIN de Rungis : fruits et légumes bio; CHICORÉE Scarole France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 1.46; 1.30; 1.48;  ; 1.32; 1.40
80;MIN de Strasbourg : fruits et légumes; CHICORÉE frisée France cat.I colis de 8 (la pièce) ;  ; 2.20; 2.22; 2.27; 2.28; 2.28; 2.17; 2.13; 2.08; 2.14; 2.10; 2.02
81;MIN de Strasbourg : fruits et légumes; CHICORÉE Scarole France cat.I colis de 8 (la pièce) ;  ; 2.17; 2.21; 2.23; 2.23; 2.23; 2.23; 2.13; 2.03; 2.13; 2.10; 2.14
82;MIN de Strasbourg : fruits et légumes bio; CHICORÉE frisée France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 1.19; 1.61; 1.69; 1.26; 1.58; 1.53
83;MIN de Strasbourg : fruits et légumes bio; CHICORÉE Scarole France biologique (la pièce) ;  ;  ;  ;  ;  ;  ; 1.13; 1.34; 1.74; 1.63; 1.58; 1.51
84;MIN de Toulouse : fruits et légumes; CHICORÉE frisée France cat.I colis de 8 (la pièce) ; 1.69; 1.50; 1.45;  ;  ;  ;  ; 1.57; 1.54; 1.54; 1.76; 1.76
85;MIN de Toulouse : fruits et légumes; CHICORÉE Scarole France cat.I colis de 8 (la pièce) ; 1.69; 1.50; 1.45;  ;  ;  ;  ; 1.57; 1.52; 1.54; 1.76; 1.76
86;Légumes France DETAIL GMS; CHICORÉE frisée France (la pièce) ;  ;  ;  ;  ;  ;  ; 2.60; 2.61; 2.60; 2.64; 2.68; 2.65
87;Légumes France DETAIL GMS; CHICORÉE frisée hors Fr. (la pièce) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 2.74; 2.71; 2.71
88;MIN de Rungis : fruits et légumes 2; ROMARIN France botte (les 10 bottes) ;  ; 5.80; 5.80; 5.80; 5.80; 5.80; 5.80; 5.80; 5.80; 5.80; 5.80; 5.80
89;France : fruits et légumes bio - grossistes; PLEUROTE France biologique (le kg) ; 9.91; 10.29; 10.10; 9.55; 9.78; 9.29; 9.51; 9.36; 9.38; 9.31; 9.59; 9.63
90;France : fruits et légumes bio - grossistes; PLEUROTE U.E. biologique (le kg) ; 7.71; 7.73; 8.00; 7.88; 8.07; 6.58; 6.51; 6.78; 7.38; 7.75; 6.44; 7.56
91;Marché de Lyon-Corbas : fruits et légumes; PLEUROTE France (le kg) ;  ;  ;  ;  ;  ;  ;  ; 5.45; 5.53; 5.50; 5.32;  
92;MIN d'Avignon-Cavaillon : fruits et légumes; PLEUROTE Espagne cat.I (le kg) ;  ;  ;  ;  ;  ; 6.60; 6.66; 6.35; 6.55; 6.95; 6.56; 6.30
93;MIN de Lomme-Lille : fruits et légumes; PLEUROTE France plateau (le kg) ;  ;  ;  ;  ;  ; 5.30; 5.30; 5.20; 5.20; 5.20; 5.20; 5.20
94;MIN de Lomme-Lille : fruits et légumes; PLEUROTE Import plateau (le kg) ;  ;  ;  ;  ;  ; 4.70; 4.70; 4.60; 4.60; 4.60; 4.60; 4.60
95;MIN de Nantes : fruits et légumes; PLEUROTE France plateau (le kg) ;  ; 4.70; 4.70; 4.70; 4.70; 4.70; 4.74; 4.75; 4.75; 4.75; 4.75; 4.75
96;MIN de Nantes : fruits et légumes bio; PLEUROTE France biologique (le kg) ; 10.43; 10.61; 9.34;  ;  ; 9.47; 9.48; 9.18; 9.06; 9.00; 9.43; 9.06
97;MIN de Rungis : fruits et légumes 1; PLEUROTE France plateau (le kg) ; 5.00; 5.41; 5.50; 4.75; 4.50; 4.50; 5.68; 5.55; 5.78; 5.83; 6.00; 5.74
98;MIN de Rungis : fruits et légumes 1; PLEUROTE Import cat.I moyen (le kg) ; 4.50; 4.50; 4.50; 3.59; 4.00; 4.05; 4.56; 4.50; 4.80; 4.75; 5.40; 4.52
99;MIN de Rungis : fruits et légumes bio; PLEUROTE France biologique (le kg) ;  ; 10.87; 10.61; 9.84; 9.34; 9.66; 10.06; 9.72; 9.66; 9.86; 9.81; 10.26
100;MIN de Rungis : fruits et légumes bio; PLEUROTE U.E. biologique (le kg) ; 8.49; 8.27; 8.31; 8.14; 8.39; 7.15; 7.07; 7.71; 7.89; 8.35; 6.74; 8.49
101;MIN de Strasbourg : fruits et légumes; PLEUROTE France plateau (le kg) ;  ;  ;  ;  ;  ; 6.12; 6.12; 6.10; 6.14;  ;  ; 5.13
102;Marché de Lyon-Corbas carreau : fruits et légumes; COURGETTE Rhône-Alpes cat.I 14-21cm plateau (le kg) ;  ; 1.20; 1.07; 0.89; 0.97; 1.46; 2.09; 2.55;  ;  ;  ; 2.38
103;Marché de Perpignan carreau : fruits et légumes; COURGETTE grise Roussillon 14-21cm (le kg) ; 3.13; 2.20; 1.80; 1.74; 1.70; 1.87; 1.80; 1.80; 1.80; 1.80;  ;  
104;Marché de Perpignan carreau : fruits et légumes; COURGETTE jaune Roussillon (le kg) ;  ; 2.13; 2.00; 1.82;  ;  ;  ;  ;  ;  ;  ;  
105;Marché de Perpignan carreau : fruits et légumes; COURGETTE ronde Roussillon (le kg) ;  ; 2.30; 2.07; 1.82; 1.85; 1.93; 1.80; 1.80;  ;  ;  ;  
106;Marché de Perpignan carreau : fruits et légumes; COURGETTE verte Roussillon 14-21cm (le kg) ; 2.53; 1.91; 1.32; 1.04; 1.07; 1.59; 1.50; 1.50; 1.50;  ;  ;  
107;Marché de producteurs de Vivy : fruits et légumes; COURGETTE verte Val de Loire cat.I plateau (le kg) ;  ;  ;  ; 0.56; 0.54; 0.87; 0.96; 1.38;  ;  ;  ;  
108;MIN d'Agen carreau : fruits et légumes; COURGETTE jaune Sud-Ouest cat.I plateau (le kg) ;  ;  ; 1.50; 1.40; 1.07; 1.10;  ;  ;  ;  ;  ;  
109;MIN d'Agen carreau : fruits et légumes; COURGETTE ronde Sud-Ouest cat.I (le kg) ;  ;  ; 1.20; 1.17; 1.00; 1.07;  ;  ;  ;  ;  ;  
110;MIN d'Agen carreau : fruits et légumes; COURGETTE verte Sud-Ouest cat.I 14-21cm plateau (le kg) ;  ; 0.90; 0.90; 0.72; 0.79; 1.10; 1.33;  ;  ;  ;  ;  
111;MIN de Cavaillon carreau : fruits et légumes; COURGETTE ronde Sud-Est (le kg) ; 2.50; 2.00; 1.55; 1.30; 1.30; 1.30;  ;  ;  ;  ;  ;  
112;MIN de Cavaillon carreau : fruits et légumes; COURGETTE verte Sud-Est (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ; 1.75; 1.75;  ; 2.20
113;MIN de Cavaillon carreau : fruits et légumes; COURGETTE verte Sud-Est plateau (le kg) ; 1.80; 1.13; 0.90; 0.82; 0.95; 1.12; 1.68; 1.75; 1.75;  ;  ;  
114;MIN de Châteaurenard carreau : fruits et légumes; COURGETTE ronde Sud-Est plateau (le kg) ;  ; 2.42; 1.63; 1.71;  ;  ;  ;  ;  ;  ;  ;  
115;MIN de Châteaurenard carreau : fruits et légumes; COURGETTE verte Sud-Est colis 9kg (le kg) ; 1.96; 0.85; 0.92; 0.63; 0.78; 1.02; 1.72; 1.62;  ;  ;  ;  
116;MIN de Toulouse carreau : fruits et légumes; COURGETTE verte Sud-Ouest cat.I 14-21cm plateau (le kg) ;  ;  ;  ; 0.76;  ;  ;  ;  ;  ;  ;  ;  
117;Bassin Centre-Ouest : fruits et légumes; COURGETTE verte Centre-Ouest cat.I 14-21cm colis 10kg (le kg) ;  ;  ; 0.98; 0.67; 0.77; 1.08; 0.99;  ;  ;  ;  ;  
118;Bassins Sud-Est et Roussillon : fruits et légumes bio; COURGETTE Méditerranée biologique 14-21cm (le kg) ; 3.06; 2.25; 1.46; 1.33; 1.42; 1.68; 2.16; 2.50;  ;  ;  ;  
119;Bassins Sud-Est et Roussillon : fruits et légumes bio; COURGETTE ronde Méditerranée biologique (le kg) ;  ; 3.30; 2.58;  ; 1.84;  ;  ;  ;  ;  ;  ;  
120;Bassin Sud-Est : fruits et légumes 1; COURGETTE longue verte Sud-Est cat.I 14-21cm colis 9kg (le kg) ; 1.43;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
121;Bassin Sud-Est : fruits et légumes 1; COURGETTE longue verte Sud-Est sous-abri cat.I 14-21cm colis 10kg (le kg) ; 1.84;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  
122;Bassin Sud-Est : fruits et légumes 1; COURGETTE verte Sud-Est cat.I 14-21cm colis 10kg (le kg) ;  ; 0.99; 0.93; 0.70; 0.80; 1.19; 1.05;  ;  ;  ;  ;  
123;Bassin Sud-Ouest : fruits et légumes autres; COURGETTE ronde Sud-Ouest cat.I plateau (le kg) ;  ;  ; 1.33; 1.23;  ;  ;  ;  ;  ;  ;  ;  
124;Bassin Sud-Ouest : fruits et légumes autres; COURGETTE verte Sud-Ouest cat.I colis 10kg (le kg) ;  ; 0.87; 0.92; 0.68; 0.76; 1.08; 1.09;  ;  ;  ;  ;  
125;France : fruits et légumes bio - expédition; COURGETTE ronde France biologique (le kg) ;  ;  ; 1.50; 2.17; 1.78; 1.89; 2.14;  ;  ;  ;  ;  
126;France : fruits et légumes bio - expédition; COURGETTE verte France biologique (le kg) ;  ; 2.46; 1.48; 1.29; 1.16; 1.61; 2.12; 2.79;  ;  ;  ;  
127;France : fruits et légumes bio - import; COURGETTE Espagne biologique cat.I (le kg) ; 1.80; 1.25; 1.15; 1.20; 1.24; 2.14; 2.92; 1.96; 1.67; 3.61; 1.89; 1.43
128;France : fruits et légumes bio - import; COURGETTE ronde Espagne biologique cat.I (le kg) ; 2.07; 1.65; 1.75;  ;  ;  ;  ; 2.26;  ;  ;  ; 1.98
129;Marché de St-Charles : fruits et légumes - import; COURGETTE verte Espagne cat.I 14-21cm (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.83
130;Marché de St-Charles : fruits et légumes - import; COURGETTE verte Maroc cat.I 14-21cm (le kg) ;  ;  ;  ;  ;  ;  ; 1.44; 0.69; 0.47; 1.47; 0.56; 0.64
131;Marché de St-Charles : fruits et légumes - import; COURGETTE verte Maroc cat.I 21-30cm (le kg) ;  ;  ;  ;  ;  ;  ;  ; 0.72; 0.39; 1.26; 0.47; 0.55
132;Pays-Bas : fruits et légumes; COURGETTE jaune Pays-Bas (le kg) ;  ;  ;  ;  ; 2.28; 1.90; 2.08; 3.45;  ;  ;  ;  
133;Pays-Bas : fruits et légumes; COURGETTE verte Pays-Bas cat.I 14-21cm colis 5kg (le kg) ;  ;  ; 1.10; 0.88; 0.62; 1.26; 1.30;  ;  ;  ;  ;  
134;Pays-Bas : fruits et légumes; COURGETTE verte Pays-Bas cat.I 7-14cm colis 5kg (le kg) ;  ;  ; 1.10; 0.88; 0.70; 1.42; 1.45;  ;  ;  ;  ;  
135;France : fruits et légumes bio - grossistes; COURGETTE ronde France biologique (le kg) ;  ;  ; 3.61; 2.66; 2.21; 2.69; 3.07; 3.88;  ;  ;  ;  
136;France : fruits et légumes bio - grossistes; COURGETTE ronde U.E. biologique (le kg) ;  ;  ;  ; 2.24;  ;  ;  ;  ;  ;  ;  ;  
137;France : fruits et légumes bio - grossistes; COURGETTE verte France biologique (le kg) ;  ; 2.84; 1.91; 1.64; 1.46; 2.21; 2.90; 3.99;  ;  ;  ;  
138;France : fruits et légumes bio - grossistes; COURGETTE verte U.E. biologique (le kg) ; 2.73; 1.46; 1.32; 1.20;  ; 2.29; 2.98; 2.43; 1.78; 3.39; 2.34; 1.59
139;Marché de Bologne : fruits et légumes; COURGETTE verte Italie cat.I 14-21cm plateau (le kg) ; 1.48; 0.90; 0.84; 0.73; 0.60; 2.13; 2.70; 1.68; 1.65; 2.10; 1.60; 0.90
140;Marché de Lyon-Corbas : fruits et légumes; COURGETTE Espagne biologique (le kg) ; 2.31; 1.38; 1.33; 1.36; 1.33; 2.20; 3.00; 2.62; 1.70; 3.48; 2.58; 1.60
141;Marché de Lyon-Corbas : fruits et légumes; COURGETTE France biologique (le kg) ; 3.50; 2.79; 1.91; 1.87; 1.62; 2.44; 2.51; 2.80;  ;  ;  ;  
142;Marché de Lyon-Corbas : fruits et légumes; COURGETTE verte Espagne cat.I 14-21cm plateau (le kg) ; 1.53; 0.81; 0.82; 0.60; 0.74; 1.43; 2.10; 1.10; 0.95; 2.42; 1.08; 1.05
