;Origine;libellé;Avril2020;Mai2020;Juin2020;Juil.2020;Août2020;Septe.2020;Octo.2020;Nove.2020;Déce.2020;Janv.2021;Févr.2021;Mars2021
2172;MIN de Rungis : fruits et légumes 1; POIVRON rouge carré Espagne cat.I gros (le kg) ; 2.84; 2.54; 1.78; 1.20; 1.80; 1.98; 1.64; 1.72; 1.65; 2.01; 1.70; 3.20
2173;MIN de Rungis : fruits et légumes 1; POIVRON rouge carré Pays-Bas cat.I gros (le kg) ; 2.90; 2.66; 2.10; 1.59; 2.01; 2.62;  ;  ;  ;  ;  ; 2.62
2174;MIN de Rungis : fruits et légumes 1; POIVRON rouge carré Pologne cat.I gros (le kg) ;  ;  ;  ;  ;  ; 1.50;  ;  ;  ;  ;  ;  
2175;MIN de Rungis : fruits et légumes 1; POIVRON rouge Maroc cat.I gros (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.30; 1.29;  
2176;MIN de Rungis : fruits et légumes 1; POIVRON vert carré Espagne cat.I gros (le kg) ; 2.07; 2.09; 1.73; 1.20; 1.90; 1.88; 1.54; 1.54; 1.57; 2.01; 1.76; 2.30
2177;MIN de Rungis : fruits et légumes 1; POIVRON vert carré Pays-Bas cat.I gros (le kg) ; 2.40; 2.33; 2.05; 1.41; 2.36; 2.52;  ;  ;  ;  ;  ; 2.15
2178;MIN de Rungis : fruits et légumes 1; POIVRON vert carré Pologne cat.I gros (le kg) ;  ;  ;  ;  ;  ; 1.50;  ;  ;  ;  ;  ;  
2179;MIN de Rungis : fruits et légumes 1; POIVRON vert Maroc cat.I gros (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.30; 1.29;  
2180;MIN de Rungis : fruits et légumes bio; POIVRON France biologique (le kg) ;  ; 4.43; 4.07; 3.14; 3.13; 2.83; 2.85; 2.46; 2.51;  ;  ;  
2181;MIN de Rungis : fruits et légumes bio; POIVRON U.E. biologique moyen (le kg) ; 3.64; 3.22; 3.17; 2.30; 2.42; 2.62; 2.26; 2.21; 2.55; 2.88; 2.90; 3.15
2182;MIN de Strasbourg : fruits et légumes; POIVRON jaune carré Espagne cat.I gros (le kg) ;  ;  ; 2.03; 1.41; 1.91; 2.23; 1.68; 1.48; 1.64; 1.93; 1.94; 3.55
2183;MIN de Strasbourg : fruits et légumes; POIVRON jaune carré Pays-Bas cat.I gros (le kg) ;  ;  ; 2.57; 2.19; 2.83; 3.19; 2.42;  ;  ;  ;  ; 4.41
2184;MIN de Strasbourg : fruits et légumes; POIVRON rouge carré Espagne cat.I gros (le kg) ;  ; 2.45; 1.86; 1.33; 1.66; 1.72; 1.55; 1.58; 1.67; 1.89; 1.78; 2.76
2185;MIN de Strasbourg : fruits et légumes; POIVRON rouge carré Pays-Bas cat.I gros (le kg) ;  ;  ; 2.55; 2.05; 2.32; 2.80; 1.92; 1.74;  ;  ;  ;  
2186;MIN de Strasbourg : fruits et légumes; POIVRON vert carré Espagne cat.I gros (le kg) ;  ; 2.34; 1.87; 1.33; 1.57; 1.72; 1.60; 1.44; 1.59; 1.92; 1.82; 2.02
2187;MIN de Strasbourg : fruits et légumes; POIVRON vert carré France cat.I gros (le kg) ;  ;  ;  ;  ; 2.59; 2.52;  ;  ;  ;  ;  ;  
2188;MIN de Strasbourg : fruits et légumes; POIVRON vert carré Pays-Bas cat.I gros (le kg) ;  ;  ; 2.65; 2.08; 2.56; 2.80;  ;  ;  ;  ;  ;  
2189;MIN de Toulouse : fruits et légumes; POIVRON jaune Belgique cat.I gros (le kg) ;  ;  ;  ; 1.98;  ;  ;  ;  ;  ;  ;  ;  
2190;MIN de Toulouse : fruits et légumes; POIVRON jaune carré Espagne cat.I gros (le kg) ; 3.00; 2.33; 1.75; 1.46; 1.50; 1.58; 1.69; 1.50; 1.60; 1.70; 1.81; 3.15
2191;MIN de Toulouse : fruits et légumes; POIVRON rouge Belgique cat.I gros (le kg) ;  ;  ;  ; 1.96;  ;  ;  ;  ;  ;  ;  ;  
2192;MIN de Toulouse : fruits et légumes; POIVRON rouge carré Espagne cat.I gros (le kg) ; 2.69; 2.40; 1.62; 1.44; 1.40; 1.67; 1.76; 1.74; 1.73; 1.64; 1.73; 2.65
2193;MIN de Toulouse : fruits et légumes; POIVRON vert Belgique cat.I gros (le kg) ;  ;  ;  ; 1.79;  ;  ;  ;  ;  ;  ;  ;  
2194;MIN de Toulouse : fruits et légumes; POIVRON vert carré Espagne cat.I gros (le kg) ; 2.20; 1.96; 1.71; 1.32; 1.40; 1.57; 1.59; 1.56; 1.55; 1.80; 1.74; 2.26
2195;MIN de Toulouse : fruits et légumes; POIVRON vert carré France cat.I gros (le kg) ;  ;  ; 2.20; 1.86; 1.70; 1.77;  ;  ;  ;  ;  ;  
2196;Bio magasins spécialisés (DRIVE); POIVRON France biologique (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.77;  ;  ;  ;  
2197;Bio magasins spécialisés (DRIVE); POIVRON U.E. biologique moyen (le kg) ;  ;  ;  ;  ;  ;  ;  ; 4.29; 4.34; 4.71; 4.99; 5.21
2198;Légumes France DETAIL GMS; POIVRON France vrac (le kg) ;  ;  ;  ;  ;  ;  ; 3.36; 3.12; 2.98;  ;  ;  
2199;Légumes France DETAIL GMS; POIVRON hors Fr. biologique (le kg) ;  ;  ;  ;  ;  ;  ; 5.41; 5.34; 5.21; 5.68; 6.07; 5.76
2200;Légumes France DETAIL GMS; POIVRON hors Fr. biologique cdt 2 (le cdt 2) ;  ;  ;  ;  ;  ;  ; 2.38; 2.29; 2.21; 2.37; 2.26; 2.42
2201;Légumes France DETAIL GMS; POIVRON hors Fr. vrac (le kg) ;  ;  ;  ;  ;  ;  ; 3.26; 3.05; 2.99; 3.17; 3.17; 3.60
2202;Marché de Perpignan carreau : fruits et légumes; PATATE DOUCE Roussillon (le kg) ; 2.00; 2.00;  ;  ;  ; 2.20; 1.89; 1.80; 1.80; 1.80; 1.80; 1.80
2203;MIN d'Agen carreau : fruits et légumes; PATATE DOUCE Sud-Ouest moyenne (le kg) ;  ;  ;  ;  ;  ;  ; 1.94; 1.90;  ;  ;  ;  
2204;Bassins Sud-Est et Roussillon : fruits et légumes bio; PATATE DOUCE Méditerranée biologique (le kg) ;  ;  ;  ;  ;  ; 2.40; 2.29; 2.02; 1.70;  ;  ;  
2205;France : fruits et légumes bio - expédition; PATATE DOUCE France biologique (le kg) ; 2.94;  ;  ;  ; 3.13; 2.84; 2.36; 1.99; 1.90; 1.95; 1.98; 2.03
2206;France : fruits et légumes bio - import; PATATE DOUCE Espagne biologique (le kg) ; 2.45; 2.92; 2.99; 2.66; 2.03; 1.41; 1.29; 1.25; 1.13; 1.34; 1.56; 1.81
2207;Marché de St-Charles : fruits et légumes - import; PATATE DOUCE Espagne cat.I (le kg) ; 1.11;  ;  ;  ;  ; 0.95; 0.81; 0.76; 0.80; 0.93; 0.99; 1.07
2208;France : fruits et légumes bio - grossistes; PATATE DOUCE France biologique (le kg) ;  ;  ;  ;  ;  ; 3.50; 2.97; 2.61; 2.42; 2.62; 2.74; 2.84
2209;France : fruits et légumes bio - grossistes; PATATE DOUCE Import biologique (le kg) ; 3.04; 3.16; 3.16; 3.18;  ;  ;  ;  ;  ;  ;  ;  
2210;France : fruits et légumes bio - grossistes; PATATE DOUCE U.E. biologique (le kg) ; 3.06; 3.36; 3.35; 3.32; 2.97; 2.08; 1.92; 1.86; 1.74; 1.76; 1.91; 2.05
2211;Marché de Lyon-Corbas : fruits et légumes; PATATE DOUCE Egypte moyenne (le kg) ;  ;  ;  ;  ;  ; 1.32; 1.30;  ; 1.20; 1.44;  ;  
2212;Marché de Lyon-Corbas : fruits et légumes; PATATE DOUCE Espagne (le kg) ; 1.82; 1.95;  ;  ;  ;  ; 1.30; 1.39; 1.34; 1.31; 1.46; 1.67
2213;Marché de Lyon-Corbas : fruits et légumes; PATATE DOUCE Honduras (le kg) ;  ; 1.96; 1.86; 1.80;  ;  ;  ;  ;  ;  ;  ;  
2214;MIN d'Avignon-Cavaillon : fruits et légumes; PATATE DOUCE Espagne moyenne (le kg) ; 1.79; 1.98; 2.00; 2.00;  ; 1.10; 1.80; 1.41; 1.44; 1.76; 1.74; 1.79
2215;MIN d'Avignon-Cavaillon : fruits et légumes; PATATE DOUCE France (le kg) ;  ;  ;  ;  ;  ; 2.22; 2.16; 2.17; 2.45; 2.50; 2.50;  
2216;MIN d'Avignon-Cavaillon : fruits et légumes; PATATE DOUCE Import (le kg) ; 2.20; 2.32; 2.24; 2.17; 2.28; 2.12; 1.94; 1.76; 1.66; 1.70; 1.93; 1.93
2217;MIN de Bordeaux-Brienne : fruits et légumes; PATATE DOUCE hors Fr. moyenne plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.35;  ;  
2218;MIN de Bordeaux-Brienne : fruits et légumes; PATATE DOUCE Import (le kg) ;  ;  ;  ; 2.00; 2.00; 1.89; 1.66; 1.60; 1.57; 1.68; 1.76; 1.88
2219;MIN de Bordeaux-Brienne : fruits et légumes; PATATE DOUCE longue Espagne moyenne plateau (le kg) ;  ;  ;  ;  ; 1.90; 1.59; 1.36; 1.28; 1.25; 1.57; 1.57; 1.70
2220;MIN de Bordeaux-Brienne : fruits et légumes; PATATE DOUCE longue France moyenne plateau (le kg) ;  ;  ;  ;  ;  ;  ;  ; 2.07; 2.00;  ;  ;  
2221;MIN de Marseille : fruits et légumes; PATATE DOUCE Import carton (le kg) ;  ;  ; 1.93; 1.84; 1.73; 1.55; 1.68; 1.57; 1.44; 1.46; 1.57; 1.62
2222;MIN de Nantes : fruits et légumes; PATATE DOUCE Espagne moyenne (le kg) ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 1.83
2223;MIN de Nantes : fruits et légumes; PATATE DOUCE France moyenne (le kg) ;  ;  ;  ;  ;  ; 2.00; 2.16; 2.00; 1.85; 1.80; 1.80;  
2224;MIN de Nantes : fruits et légumes; PATATE DOUCE Import carton (le kg) ;  ;  ; 2.10; 2.10; 2.10; 1.82; 1.52; 1.46; 1.40; 1.56; 1.60; 1.71
2225;MIN de Nantes : fruits et légumes bio; PATATE DOUCE France biologique (le kg) ;  ;  ;  ;  ;  ; 3.51; 2.82; 2.46; 2.32; 2.62; 2.78; 2.94
2226;MIN de Nantes : fruits et légumes bio; PATATE DOUCE Import biologique (le kg) ; 3.26; 3.44; 3.27; 3.01;  ;  ;  ;  ;  ;  ;  ;  
2227;MIN de Nantes : fruits et légumes bio; PATATE DOUCE U.E. biologique (le kg) ; 3.27; 3.31; 2.96; 3.29; 2.72; 1.93; 1.70; 1.76; 1.61; 1.73; 1.73; 1.98
2228;MIN de Nice : fruits et légumes; PATATE DOUCE France moyenne (le kg) ;  ;  ;  ;  ;  ; 2.50; 2.25; 2.10; 2.15; 2.50;  ;  
2229;MIN de Nice : fruits et légumes; PATATE DOUCE Import moyenne (le kg) ; 2.00; 2.10; 2.17; 2.18; 2.14; 2.06; 1.89; 1.77; 1.77; 1.80; 1.88; 2.08
2230;MIN de Nice : fruits et légumes; PATATE DOUCE U.E. moyenne (le kg) ;  ;  ;  ;  ;  ; 1.60; 1.82; 1.65;  ;  ;  ;  
